,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.33,0.11,0.0,0.19,0.17,0.09,0.47,0.53,0.32,0.3,0.37,0.32,0.75,0.32,0.28,0.29,0.38,0.76,0.0
apolloplayer.csv,0.16,0.53,0.44,0.37,0.25,0.1,0.67,0.53,0.61,0.71,0.39,0.33,0.37,0.58,0.81,0.41,0.32,0.17,0.85
auber.csv,0.2,0.37,0.53,0.42,0.24,0.15,0.68,0.63,0.87,0.79,0.38,0.24,0.77,0.58,0.75,0.96,0.37,0.4,0.8
cortex-vfx.csv,0.3,0.41,0.35,0.24,0.34,0.15,0.49,0.34,0.34,0.64,0.12,0.56,0.46,0.52,0.48,0.77,0.46,0.15,0.38
growl-for-windows.csv,0.0,0.43,0.42,0.0,0.0,0.21,0.03,0.59,0.52,0.46,0.19,0.13,0.61,0.42,0.07,0.06,0.17,0.77,0.27
ifmo-game-1.csv,0.05,0.1,0.0,0.11,0.24,0.44,0.32,0.14,0.19,0.1,0.0,0.18,0.08,0.21,0.17,0.08,0.23,0.76,0.05
ildjit.csv,0.08,0.28,0.44,0.63,0.24,0.14,0.47,0.29,0.45,0.55,0.17,0.14,0.6,0.21,0.75,0.33,0.33,0.48,0.44
jfreereport.csv,0.33,0.4,0.45,0.04,0.34,0.18,0.32,0.28,0.54,0.44,0.16,0.33,0.54,0.27,0.42,0.14,0.35,0.32,0.19
keyczar.csv,0.17,0.0,0.25,0.05,0.0,0.15,0.3,0.08,0.13,0.12,0.3,0.0,0.8,0.26,0.28,0.0,0.0,0.46,0.61
moast.csv,0.21,0.24,0.32,0.37,0.19,0.08,0.69,0.58,0.41,0.28,0.34,0.25,0.86,0.24,0.52,0.98,0.2,0.74,0.84
opde.csv,0.31,0.41,0.65,0.15,0.33,0.18,0.65,0.62,0.81,0.68,0.19,0.34,0.82,0.57,0.86,0.4,0.36,0.79,0.67
openfrag.csv,0.27,0.38,0.5,0.17,0.23,0.19,0.58,0.74,0.68,0.71,0.29,0.3,0.0,0.57,0.83,0.92,0.34,0.63,0.47
passwordsafe.csv,0.3,0.4,0.49,0.18,0.24,0.15,0.64,0.65,0.74,0.76,0.42,0.43,0.18,0.65,0.82,0.96,0.37,0.58,0.69
ppcboot.csv,0.24,0.39,0.51,0.37,0.23,0.14,0.63,0.7,0.95,0.72,0.36,0.33,0.27,0.53,0.91,0.94,0.34,0.7,0.84
quark.csv,0.38,0.38,0.19,0.0,0.23,0.2,0.03,0.19,0.35,0.36,0.19,0.55,0.0,0.44,0.24,0.03,0.18,0.05,0.05
super-tux.csv,0.23,0.3,0.46,0.38,0.25,0.12,0.68,0.72,0.95,0.53,0.22,0.34,0.65,0.49,0.58,0.43,0.33,0.59,0.78
synergyspace.csv,0.24,0.29,0.32,0.17,0.22,0.15,0.61,0.44,0.47,0.5,0.46,0.22,0.39,0.33,0.36,0.96,0.29,0.37,0.77
wikipediardware.csv,0.23,0.36,0.52,0.25,0.23,0.14,0.57,0.68,0.81,0.72,0.36,0.33,0.8,0.5,0.86,0.94,0.36,0.7,0.82
xtreemfs.csv,0.25,0.46,0.46,0.31,0.34,0.14,0.64,0.7,0.86,0.63,0.31,0.5,0.35,0.64,0.9,0.96,0.42,0.75,0.73
