,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.63,0.54,0.64,0.5,0.49,0.47,0.57,0.69,0.43,0.91
firebird.csv,0.53,0.39,1.0,0.51,0.75,0.69,0.89,0.87,0.47,0.92
fmri-dmt.csv,0.83,0.68,0.93,0.73,0.95,0.9,0.8,0.95,0.85,0.16
htmlunit.csv,0.53,0.37,0.71,0.59,0.46,0.41,0.7,0.66,0.56,0.78
monetdb.csv,0.6,0.5,0.16,0.62,0.64,0.67,0.58,0.7,0.39,0.84
ontomorphtab.csv,0.53,0.35,0.5,0.59,0.49,0.47,0.52,0.72,0.5,0.91
smarttag.csv,0.65,0.53,0.98,0.66,0.55,0.64,0.7,0.6,0.62,0.89
taokgame.csv,0.76,0.67,0.1,0.75,0.7,0.91,0.48,0.73,0.66,0.84
webdriver.csv,0.67,0.52,0.53,0.73,0.57,0.67,0.36,0.65,0.62,0.91
xbplayer.csv,0.56,0.37,0.5,0.55,0.43,0.52,0.48,0.59,0.48,0.51
