,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.14,0.42,0.0,0.85,0.05,1.0,0.8,0.0,0.0,0.19,0.16,0.38,0.24,0.11,0.56,0.38,0.21,0.22,0.91,0.1
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
free-evolution.csv,0.04,0.36,0.06,0.73,0.08,0.25,1.0,0.18,0.11,0.34,0.2,0.44,0.24,0.0,0.7,0.37,0.21,1.0,0.77,0.0
gtad.csv,1.0,0.67,0.0,0.0,0.67,0.0,0.75,0.0,0.0,0.0,0.53,0.38,0.0,0.0,1.0,0.5,0.39,0.0,0.0,0.0
gusanos.csv,0.06,0.34,0.01,0.97,0.1,0.28,0.77,0.12,0.13,0.33,0.21,0.5,0.37,0.21,0.98,0.35,0.23,0.28,0.84,0.1
kaffeine.csv,0.03,0.36,0.01,1.0,0.09,0.33,0.78,0.11,0.11,0.31,0.16,0.39,0.29,0.19,0.71,0.39,0.19,0.22,0.83,0.09
lcfizvtop.csv,0.05,0.35,0.01,0.79,0.01,0.37,0.79,0.19,0.07,0.3,0.24,0.44,0.22,1.0,0.74,0.31,0.22,0.23,0.9,0.1
m-a-d-n-e-s-s.csv,0.05,0.52,0.0,1.0,0.08,0.31,1.0,0.21,0.15,0.22,0.15,0.49,0.96,0.2,0.85,0.35,0.29,0.28,0.86,0.07
m-m-m.csv,0.04,0.37,0.01,0.81,0.07,0.33,1.0,0.06,0.15,0.35,0.15,0.41,0.39,0.19,0.7,0.51,0.22,0.26,0.88,0.0
mediaportal.csv,0.0,0.33,0.03,0.0,0.06,0.22,0.83,0.0,0.09,0.29,0.1,0.73,0.33,0.0,1.0,0.33,1.0,0.0,0.0,0.0
mvnforum.csv,0.09,0.38,0.01,0.74,0.0,0.25,0.82,0.1,0.16,1.0,0.23,0.38,0.21,0.17,0.68,0.42,0.26,0.33,0.79,0.11
myfaces.csv,0.0,0.43,0.01,1.0,0.05,0.22,0.57,0.14,0.05,0.32,0.98,0.47,0.36,0.38,0.88,0.33,0.16,0.35,0.78,0.18
nh3d.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,1.0,0.0
ogrehg.csv,0.07,0.52,0.02,0.93,0.15,0.18,0.71,0.18,0.15,0.29,0.13,1.0,0.36,0.26,0.83,0.44,0.25,0.25,0.84,0.12
pnotepad.csv,0.03,0.37,0.01,0.89,0.16,0.41,0.86,0.09,0.17,0.34,0.16,0.47,0.34,0.19,0.7,0.42,0.22,0.29,1.0,0.1
pydev.csv,0.0,0.53,0.01,1.0,0.04,0.4,0.92,0.08,0.15,0.17,0.34,0.54,0.38,0.0,0.91,1.0,0.39,0.5,0.89,0.17
sarasvati.csv,0.08,0.33,0.07,0.74,1.0,0.0,1.0,0.13,0.17,0.25,0.21,0.39,0.24,0.07,0.57,0.5,0.14,0.23,0.79,0.0
taokgame.csv,0.0,0.0,0.0,0.67,0.0,0.14,1.0,1.0,0.14,0.09,0.06,0.74,0.0,0.0,0.86,0.29,0.2,0.42,1.0,0.0
tokratan.csv,0.0,0.34,0.01,0.76,0.0,0.4,1.0,0.06,1.0,0.42,0.15,0.66,0.42,0.5,0.86,0.17,0.39,0.0,1.0,0.08
wgs-assembler.csv,0.06,1.0,0.01,1.0,0.15,0.36,0.88,0.11,0.11,0.27,0.32,0.51,0.43,0.0,0.86,0.52,0.34,0.5,0.8,0.2
