,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.28,0.57,0.2,0.5,0.4,0.2,0.4,0.54,0.36,0.15,0.99,0.15,0.17,0.42,0.31,0.12,0.34,0.11,0.42,0.31
alpine.csv,0.05,0.4,0.14,0.09,0.13,0.03,0.14,0.1,0.14,0.96,0.19,0.0,0.19,0.24,0.34,0.11,0.15,0.18,0.36,0.08
autowikibrowser.csv,0.53,0.57,0.23,0.37,0.36,0.68,0.47,0.53,0.57,0.22,0.55,0.18,0.13,0.35,0.53,0.24,0.47,0.12,1.0,0.45
critterding.csv,1.0,0.59,0.18,0.36,0.24,0.8,0.48,0.64,0.63,0.16,0.52,0.13,0.22,0.4,0.52,0.32,0.4,0.15,0.64,0.58
firebird.csv,0.52,0.98,0.2,0.32,0.25,0.82,0.55,0.58,0.54,0.15,0.59,0.14,0.18,0.41,0.52,0.32,0.41,0.18,0.66,0.44
fmri-dmt.csv,0.11,0.2,0.33,0.0,0.0,0.0,0.11,0.12,0.22,0.19,0.12,0.0,0.26,0.04,0.0,0.18,0.22,1.0,0.2,0.34
genecys.csv,0.62,0.66,0.19,0.29,0.26,1.0,0.57,0.66,0.64,0.15,0.45,0.12,0.17,0.38,0.5,0.33,0.58,0.18,0.65,0.61
hydrogen.csv,0.35,0.27,0.4,0.33,0.93,0.38,0.38,0.24,0.27,0.25,0.49,0.0,0.17,0.38,0.54,0.32,0.18,0.12,0.35,0.36
jcae.csv,0.06,0.02,1.0,0.0,0.0,0.25,0.08,0.18,0.23,0.0,0.56,0.0,0.06,0.0,0.06,0.18,0.03,0.18,0.24,0.35
kftpgrabber.csv,0.56,0.53,0.31,0.29,0.38,0.49,0.52,0.26,0.46,0.23,0.52,0.1,0.13,0.41,0.97,0.33,0.39,0.26,0.37,0.58
libarchive.csv,0.43,0.6,0.25,0.36,0.49,0.63,0.52,0.55,0.52,0.19,0.56,0.2,0.19,0.41,0.66,0.35,0.48,0.16,0.63,0.97
mimosa.csv,0.55,0.62,0.27,0.07,0.27,0.88,0.47,0.65,0.97,0.26,0.39,0.14,0.15,0.42,0.51,0.27,0.49,0.2,0.68,0.45
monetdb.csv,0.43,0.58,0.26,0.48,0.28,0.66,0.97,0.36,0.3,0.15,0.45,0.09,0.14,0.42,0.49,0.36,0.23,0.15,0.46,0.49
nosleepsoftware.csv,0.45,0.58,0.3,1.0,0.47,0.65,0.53,0.42,0.41,0.23,0.63,0.03,0.08,0.41,0.54,0.27,0.41,0.16,0.6,0.52
openmsx.csv,0.51,0.49,0.15,0.41,0.21,0.87,0.36,0.55,0.6,0.16,0.4,0.16,0.18,0.24,0.52,0.34,0.96,0.14,0.31,0.43
quarkplayer.csv,0.24,0.44,0.0,0.52,0.11,0.0,0.23,0.0,0.05,0.09,0.26,0.95,0.06,0.0,0.0,0.0,0.3,0.0,0.12,0.32
riff-evolve.csv,0.45,0.6,0.29,0.4,0.34,0.83,0.6,0.97,0.49,0.23,0.6,0.1,0.19,0.39,0.54,0.27,0.38,0.1,0.66,0.52
virtuoso.csv,0.52,0.47,0.06,0.12,0.38,0.58,0.36,0.56,0.61,0.17,0.47,0.07,0.15,0.96,0.58,0.39,0.14,0.12,0.47,0.44
xined.csv,0.41,0.32,0.18,0.0,0.45,0.23,0.22,0.36,0.29,0.33,0.53,0.05,0.04,0.11,0.48,1.0,0.31,0.14,0.18,0.65
zoolib.csv,0.16,0.16,0.0,0.0,0.1,0.28,0.04,0.08,0.0,0.0,0.04,0.0,0.87,0.04,0.0,0.32,0.0,0.0,0.26,0.08
