,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,7.0,296.0,15.0,0.0,12.0,7.0,6.0,18.0,0.0,1.0,84.0,79.0,1.0
empserver.csv,0.0,2.0,11.0,14.0,367.0,27.0,69.0,14.0,1.0,0.0,7.0,1.0,4.0
emulemorph.csv,81.0,1261.0,73.0,12.0,490.0,276.0,8.0,19.0,85.0,3.0,84.0,79.0,3.0
google-web-toolkit.csv,0.0,153.0,0.0,4.0,490.0,9.0,61.0,9.0,4.0,0.0,12.0,1.0,1.0
htmlunit.csv,0.0,23.0,7.0,1.0,65.0,6.0,11.0,24.0,1.0,0.0,0.0,1.0,1.0
jaxen.csv,0.0,77.0,4.0,21.0,128.0,10.0,4.0,65.0,2.0,1.0,14.0,8.0,5.0
jguard.csv,0.0,5.0,7.0,21.0,339.0,23.0,65.0,3.0,5.0,1.0,4.0,1.0,1.0
kowari.csv,1.0,1261.0,1.0,1.0,490.0,9.0,16.0,17.0,2.0,0.0,1.0,0.0,2.0
maidsafe-dht.csv,2.0,5.0,1.0,3.0,490.0,9.0,25.0,39.0,1.0,0.0,3.0,2.0,1.0
mimosa.csv,0.0,5.0,7.0,21.0,301.0,17.0,63.0,2.0,2.0,1.0,0.0,0.0,4.0
vdsf.csv,0.0,5.0,8.0,21.0,490.0,27.0,64.0,2.0,2.0,1.0,8.0,1.0,3.0
xbrlapi.csv,0.0,1261.0,11.0,0.0,490.0,18.0,27.0,6.0,1.0,68.0,84.0,1.0,4.0
