,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.78,0.92,0.73,0.44,0.86,0.9,1.01
flylegacy.csv,0.7,0.52,0.48,0.63,0.65,0.85,0.82
jguard.csv,0.77,0.81,0.76,0.7,0.72,0.46,0.76
mob-sen-plat.csv,0.77,0.33,0.87,0.73,0.76,0.74,0.65
raygina.csv,0.4,1.0,0.79,0.74,0.84,0.79,0.87
upp-mirror.csv,0.64,0.89,0.8,0.53,0.48,0.63,0.68
wishmaster.csv,0.79,0.9,0.72,0.66,0.6,0.81,0.39
