,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.81,0.0,0.15,0.19
repositorium.csv,0.1,0.87,0.53,0.4
simplewebservices.csv,0.72,0.09,0.74,0.69
xbg.csv,0.0,0.0,0.64,0.16
