,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.73,0.0,0.15,0.25
repositorium.csv,0.11,0.47,0.2,0.5
simplewebservices.csv,0.59,0.17,0.39,0.63
xbg.csv,0.0,0.0,0.34,0.19
