,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.4,0.44,0.65,0.34,0.46,0.38,0.51,0.54,0.37,0.46,0.38,0.5,0.35,0.56,0.49,0.37
gephex.csv,0.52,0.56,0.34,0.34,0.46,0.36,0.47,0.58,0.37,0.55,0.0,0.42,0.52,0.48,0.45,0.37
intact.csv,0.49,0.42,0.34,0.5,0.46,0.5,0.43,0.52,0.79,0.6,0.69,0.75,0.49,0.53,0.51,0.62
jbpm.csv,0.0,0.67,0.83,0.0,0.75,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.75
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.75,0.0
jpaul.csv,0.67,0.92,0.83,0.93,0.85,0.0,0.45,0.59,0.0,0.67,0.8,0.8,0.67,0.91,0.57,0.94
lamp.csv,0.61,0.5,0.33,0.49,0.55,0.39,0.44,0.39,0.36,0.44,0.8,0.46,0.65,0.52,0.58,0.36
mevenide.csv,0.0,0.8,0.62,0.5,0.98,0.0,0.6,0.5,0.0,0.51,0.35,0.83,0.83,0.0,0.74,0.83
opendvr.csv,0.51,0.41,0.38,0.55,0.56,0.67,0.78,0.62,0.93,0.6,0.0,0.67,0.68,0.67,0.8,0.69
panda3d.csv,0.72,0.88,0.59,0.59,0.99,0.77,0.68,0.97,0.88,0.7,0.39,0.63,0.57,0.93,0.61,0.9
retromenu.csv,0.5,0.39,0.36,0.86,0.98,0.5,0.67,0.38,0.86,0.67,0.33,0.8,0.93,0.75,0.74,0.89
rohxel.csv,0.48,0.5,0.4,0.68,0.51,0.41,0.52,0.6,0.44,0.61,0.36,0.91,0.54,0.47,0.68,0.91
sevenupdate.csv,0.4,0.59,0.34,0.33,0.41,0.36,0.45,0.37,0.38,0.44,0.36,0.5,0.36,0.44,0.45,0.38
soar.csv,0.4,0.53,0.5,0.38,0.46,0.4,0.45,0.86,0.36,0.46,0.63,0.52,0.37,0.44,0.51,0.37
stemkit.csv,0.8,0.8,0.85,0.7,0.84,0.61,0.75,0.83,0.61,0.61,0.75,0.49,0.91,0.82,0.83,0.92
thedata.csv,0.43,0.46,0.38,0.63,0.54,0.49,0.53,0.37,0.36,0.42,0.36,0.62,0.35,0.44,0.64,0.88
