,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,1.0,0.84,0.85,0.97,0.86,1.0,0.95,0.46,1.0,0.84,0.92,1.0,0.95,0.93,0.79,0.94
gephex.csv,0.78,0.62,0.98,0.91,0.63,0.66,0.66,0.65,0.99,0.81,1.0,1.15,0.46,0.84,0.67,0.95
intact.csv,0.75,0.9,0.73,0.5,0.75,0.69,0.7,0.54,1.03,0.75,0.94,1.0,0.63,0.77,0.73,0.79
jbpm.csv,1.0,0.94,0.63,1.0,0.27,1.0,0.72,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.93,0.75
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,1.0,1.0,0.9,1.0
jpaul.csv,1.0,0.86,0.86,0.84,0.43,1.0,0.36,0.84,1.0,1.0,0.94,0.5,0.96,0.73,0.65,1.03
lamp.csv,0.49,0.51,1.0,0.6,0.55,0.56,0.57,0.71,1.0,0.64,0.95,1.13,0.77,0.74,0.54,0.97
mevenide.csv,0.93,0.93,0.54,0.97,0.6,1.0,0.43,0.97,1.0,0.68,0.73,0.51,0.94,1.0,0.28,0.75
opendvr.csv,0.65,1.1,0.42,0.58,0.4,0.72,0.9,0.6,1.02,0.62,1.0,1.01,0.63,0.33,0.77,0.77
panda3d.csv,0.71,0.79,0.75,0.79,0.63,0.92,0.54,0.92,0.67,0.61,0.93,0.67,0.72,0.94,0.58,1.01
retromenu.csv,0.56,0.63,0.26,0.94,0.78,0.95,0.77,0.59,0.84,0.79,0.81,1.0,0.83,0.87,0.81,0.76
rohxel.csv,0.65,0.58,0.44,0.71,0.88,0.68,0.36,0.59,0.66,0.61,0.93,1.01,0.76,0.69,0.77,1.02
sevenupdate.csv,1.0,0.24,1.0,1.0,1.0,1.0,1.0,0.94,0.92,0.99,1.0,1.0,0.96,1.0,1.0,0.95
soar.csv,0.99,0.96,0.77,0.93,0.82,0.65,0.84,0.75,0.99,0.97,0.35,0.95,0.93,1.0,0.81,0.98
stemkit.csv,0.84,1.0,0.83,0.83,0.56,0.81,0.88,0.7,0.36,0.66,0.8,0.65,0.85,0.74,0.85,1.02
thedata.csv,0.64,0.86,0.86,0.67,0.98,0.87,0.9,0.97,0.73,0.65,1.0,1.11,0.89,0.71,0.92,0.06
