,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.69,0.65,0.63,0.53,0.36,0.43,0.54,0.7,0.47,0.45,0.41,0.32,0.52,0.41,0.56,0.58,0.98,0.72
cornerstone.csv,0.56,0.71,0.82,0.64,0.44,0.61,0.47,0.63,0.5,0.39,0.97,0.13,0.63,0.0,0.52,0.39,0.59,0.42
emeraldemu.csv,0.55,0.53,0.59,0.68,0.32,0.3,0.24,0.95,0.37,0.46,0.47,0.34,0.53,0.35,0.48,0.43,0.55,0.34
grafx2.csv,0.74,0.72,0.71,0.68,0.49,0.49,0.56,0.69,0.48,0.62,0.65,0.64,0.6,0.96,0.6,0.69,0.73,0.65
jahshakafx.csv,0.97,0.51,0.44,0.25,0.28,0.16,0.31,0.39,0.27,0.19,0.51,0.23,0.45,0.3,0.28,0.28,0.44,0.17
kindb.csv,0.77,0.76,0.74,0.75,0.48,0.56,0.65,0.7,0.64,0.54,0.65,0.75,0.65,0.74,0.65,0.94,0.74,0.61
maya-work-in-progress.csv,0.66,0.68,0.73,0.77,0.48,0.56,0.7,0.7,0.65,0.95,0.42,0.48,0.66,0.55,0.69,0.66,0.65,0.71
netatalk.csv,0.63,0.65,0.63,0.64,0.28,0.36,0.63,0.58,0.39,0.36,0.54,0.63,0.49,0.4,0.49,0.61,0.47,1.0
novembre.csv,0.53,0.57,0.71,0.25,0.31,0.28,1.0,0.47,0.27,0.26,0.33,0.09,0.35,0.15,0.35,0.25,0.55,0.17
ns-3.csv,0.72,0.64,0.58,0.49,0.41,1.0,0.51,0.59,0.59,0.41,0.4,0.45,0.52,0.13,0.53,0.65,0.58,0.47
nullc.csv,0.34,0.0,0.05,0.0,1.0,0.47,0.39,0.53,0.5,0.17,0.67,0.53,0.09,0.37,0.39,0.56,0.13,0.51
open-beos.csv,0.59,0.56,0.61,0.46,0.5,0.48,0.48,0.61,0.95,0.38,0.56,0.49,0.58,0.34,0.56,0.43,0.66,0.4
planeshift.csv,0.69,0.71,0.53,0.53,0.46,0.62,0.62,0.69,0.66,0.55,0.52,0.61,1.0,0.73,0.6,0.52,0.56,0.59
plee-the-bear.csv,0.07,0.31,0.8,0.1,0.16,0.43,0.0,0.01,0.24,0.22,0.36,0.35,0.45,0.44,0.13,0.49,0.21,0.16
reaper-ecad.csv,0.5,0.48,0.68,1.0,0.49,0.57,0.55,0.69,0.38,0.59,0.47,0.05,0.64,0.27,0.56,0.52,0.6,0.59
sbml.csv,0.72,0.65,0.65,0.71,0.57,0.57,0.52,0.7,0.65,0.65,0.66,0.57,0.66,0.56,0.99,0.64,0.67,0.51
unimrcp.csv,0.49,0.34,0.35,0.25,0.3,0.09,0.31,0.43,0.15,0.04,0.31,0.94,0.24,0.23,0.16,0.37,0.45,0.34
unladen-swallow.csv,0.2,0.68,0.39,0.1,0.31,0.44,0.37,0.17,0.2,0.25,0.46,0.33,0.51,0.39,0.44,0.42,0.37,0.43
