,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.42,0.96,0.67,0.79,0.68,0.54,0.63,0.4,0.76,0.43,0.63,0.16,0.55
bdbbasic.csv,0.06,0.58,0.63,0.79,0.95,0.5,0.68,0.36,0.8,0.49,0.68,0.29,0.5
foursquared.csv,0.0,0.05,0.19,1.0,0.11,0.01,0.06,0.08,0.2,0.04,0.26,0.21,0.1
impala.csv,0.55,0.41,0.11,0.12,0.53,0.21,0.31,0.88,0.18,0.38,0.32,0.37,0.35
jicarilla.csv,1.0,0.42,0.04,0.04,0.16,0.03,0.16,0.04,0.03,0.02,0.0,0.26,0.2
ng4j.csv,0.03,0.56,0.7,0.88,0.68,0.59,0.54,0.32,0.87,0.66,0.63,0.47,0.95
open-data-kit.csv,0.09,0.01,0.78,1.0,0.42,0.99,0.71,0.36,0.75,0.64,0.63,0.18,0.75
pentahoanalysistool.csv,0.3,0.26,1.0,0.42,0.05,0.09,0.11,0.16,0.31,0.0,0.0,0.11,0.1
tradelink.csv,0.06,0.42,0.37,0.42,0.53,0.2,0.25,0.16,0.42,0.26,0.95,0.16,0.15
turbotrader-bos.csv,0.0,0.67,0.48,0.33,0.79,0.3,0.17,0.32,0.96,0.06,0.58,0.26,0.45
ultimairis.csv,0.88,0.92,0.85,0.62,0.84,0.61,0.59,0.84,0.66,0.89,0.74,0.47,0.8
wikipediardware.csv,0.7,1.0,1.0,0.96,1.0,0.83,0.89,1.0,0.99,0.87,0.63,1.0,0.9
yafdotnet.csv,0.03,0.96,0.81,0.79,0.79,0.59,0.98,0.6,0.79,0.47,0.89,0.92,0.7
