,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.45,0.97,0.61,0.67,0.63,0.53,0.6,0.42,0.73,0.46,0.54,0.19,0.56
bdbbasic.csv,0.07,0.56,0.61,0.74,0.96,0.52,0.68,0.39,0.75,0.51,0.65,0.34,0.51
foursquared.csv,0.0,0.06,0.23,1.0,0.13,0.01,0.07,0.1,0.24,0.05,0.3,0.25,0.12
impala.csv,0.58,0.42,0.13,0.14,0.46,0.24,0.34,0.9,0.21,0.41,0.33,0.4,0.35
jicarilla.csv,0.99,0.43,0.05,0.05,0.19,0.04,0.19,0.05,0.04,0.02,0.0,0.3,0.23
ng4j.csv,0.04,0.56,0.68,0.75,0.71,0.59,0.56,0.35,0.63,0.5,0.6,0.52,0.96
open-data-kit.csv,0.11,0.01,0.67,0.61,0.46,0.99,0.62,0.37,0.73,0.63,0.61,0.21,0.72
pentahoanalysistool.csv,0.35,0.3,1.0,0.47,0.06,0.11,0.13,0.19,0.36,0.0,0.0,0.13,0.12
tradelink.csv,0.07,0.45,0.42,0.47,0.58,0.24,0.29,0.19,0.46,0.3,0.96,0.19,0.18
turbotrader-bos.csv,0.0,0.57,0.5,0.37,0.6,0.34,0.2,0.36,0.97,0.07,0.54,0.3,0.46
ultimairis.csv,0.37,0.5,0.47,0.45,0.71,0.49,0.5,0.59,0.5,0.91,0.65,0.46,0.56
wikipediardware.csv,0.39,0.17,0.56,0.57,0.65,0.61,0.5,0.09,0.4,0.24,0.42,0.99,0.35
yafdotnet.csv,0.04,0.17,0.68,0.62,0.5,0.5,0.98,0.52,0.68,0.5,0.61,0.0,0.59
