,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.41,0.0,0.54,0.59,0.51,0.52,0.48,0.46,0.36,0.32,0.65,0.0,0.41
bdbbasic.csv,0.35,0.51,0.44,0.41,0.0,0.36,0.31,0.46,0.41,0.4,0.43,0.0,0.42
foursquared.csv,0.0,0.04,0.05,0.0,0.04,0.02,0.01,0.04,0.11,0.01,0.04,0.21,0.0
impala.csv,0.24,0.53,0.39,0.3,0.69,0.43,0.41,0.0,0.39,0.36,0.61,0.36,0.64
jicarilla.csv,0.05,0.53,0.07,0.11,0.27,0.3,0.32,0.05,0.12,0.03,0.17,0.21,0.34
ng4j.csv,0.27,0.45,0.37,0.52,0.14,0.39,0.32,0.42,0.7,0.74,0.48,0.14,0.02
open-data-kit.csv,0.35,0.0,0.58,0.76,0.24,0.0,0.59,0.59,0.35,0.39,0.47,0.21,0.39
pentahoanalysistool.csv,0.05,0.06,0.0,0.09,0.0,0.09,0.05,0.22,0.07,0.01,0.04,0.0,0.05
tradelink.csv,0.32,0.41,0.15,0.11,0.08,0.14,0.23,0.14,0.25,0.14,0.0,0.29,0.05
turbotrader-bos.csv,0.11,0.65,0.41,0.2,0.69,0.16,0.08,0.25,0.0,0.07,0.57,0.21,0.51
ultimairis.csv,0.89,0.82,0.83,0.78,0.57,0.73,0.68,0.73,0.75,0.02,0.57,0.57,0.75
wikipediardware.csv,0.86,0.96,0.8,0.78,0.73,0.7,0.82,0.98,0.88,0.94,0.82,0.07,0.9
yafdotnet.csv,0.38,0.96,0.58,0.67,0.8,0.68,0.02,0.67,0.56,0.3,0.73,1.0,0.64
