,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.48,1.0,0.36,0.41,0.34,0.64,0.48,0.11,0.51,0.38,0.19,1.0,0.31
bdbbasic.csv,0.13,0.7,0.4,0.5,1.0,0.7,0.61,0.1,0.49,0.35,0.28,1.0,0.29
foursquared.csv,0.0,0.71,0.62,1.0,0.5,0.5,0.86,0.22,0.48,0.67,0.62,0.73,1.0
impala.csv,0.67,0.61,0.12,0.18,0.23,0.46,0.35,1.0,0.18,0.33,0.11,0.74,0.16
jicarilla.csv,0.94,0.62,0.2,0.17,0.19,0.13,0.26,0.1,0.11,0.25,0.0,0.77,0.17
ng4j.csv,0.09,0.71,0.46,0.47,0.65,0.73,0.55,0.1,0.38,0.29,0.24,0.9,0.95
open-data-kit.csv,0.19,1.0,0.38,0.41,0.4,1.0,0.46,0.08,0.51,0.42,0.25,0.7,0.39
pentahoanalysistool.csv,0.83,0.9,1.0,0.71,1.0,0.64,0.62,0.09,0.69,0.0,0.0,1.0,0.4
tradelink.csv,0.14,0.68,0.53,0.67,0.71,0.71,0.44,0.14,0.46,0.44,1.0,0.6,0.5
turbotrader-bos.csv,0.0,0.67,0.35,0.47,0.31,0.77,0.62,0.15,0.99,0.3,0.2,0.77,0.23
ultimairis.csv,0.47,0.69,0.32,0.29,0.36,0.59,0.38,0.14,0.31,0.95,0.24,0.69,0.27
wikipediardware.csv,0.42,0.68,0.36,0.39,0.35,0.67,0.44,0.12,0.36,0.29,0.16,0.97,0.25
yafdotnet.csv,0.07,0.67,0.39,0.38,0.28,0.6,0.97,0.11,0.41,0.42,0.23,0.71,0.27
