,rhex.csv,kmatplot.csv,jcae.csv,applet2app.csv,mscore.csv,riff-evolve.csv,archive-crawler.csv,autowikibrowser.csv,quickfast.csv
applet2app.csv,0.85,0.44,0.35,0.48,0.53,0.42,0.37,0.44,0.37
archive-crawler.csv,0.79,0.97,0.79,0.9,0.55,0.69,0.58,0.47,0.73
autowikibrowser.csv,0.4,0.41,0.29,0.36,0.35,0.36,0.34,0.37,0.33
jcae.csv,0.5,0.64,0.6,0.49,0.6,0.85,0.44,0.44,0.73
kmatplot.csv,0.88,0.5,0.4,0.45,0.54,0.48,0.47,0.51,0.89
mscore.csv,0.43,0.39,0.3,0.43,0.41,0.42,0.35,0.39,0.36
quickfast.csv,0.42,0.42,0.29,0.42,0.38,0.42,0.35,0.41,0.36
rhex.csv,0.5,0.66,0.55,0.58,0.55,0.58,0.93,0.81,0.5
riff-evolve.csv,0.79,0.48,0.3,0.44,0.56,0.55,0.52,0.45,0.39
