,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.0,0.0,2.0,7.0,51.0,0.0,2.0,0.0,20.0,10.0,2.0,6.0
emite.csv,0.0,2.0,0.0,50.0,4.0,0.0,2.0,3.0,20.0,19.0,0.0,5.0
geogebra.csv,3.0,0.0,3.0,6.0,4.0,0.0,2.0,3.0,5.0,3.0,70.0,0.0
hibernate.csv,0.0,1.0,6.0,25.0,65.0,0.0,0.0,1.0,0.0,11.0,1.0,6.0
httpcontentparser.csv,0.0,4.0,0.0,11.0,107.0,0.0,0.0,2.0,2.0,9.0,70.0,7.0
megameknet.csv,0.0,0.0,11.0,24.0,66.0,0.0,0.0,2.0,25.0,25.0,0.0,9.0
myfaces.csv,0.0,8.0,3.0,0.0,35.0,0.0,5.0,2.0,11.0,14.0,3.0,9.0
ns-3.csv,0.0,1.0,1.0,31.0,9.0,0.0,2.0,0.0,2.0,26.0,1.0,0.0
ondex.csv,0.0,2.0,6.0,44.0,111.0,0.0,0.0,0.0,41.0,94.0,3.0,9.0
pixel-commandos.csv,222.0,49.0,2.0,11.0,6.0,136.0,3.0,195.0,561.0,0.0,70.0,395.0
rsyslog.csv,1.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,3.0,27.0,2.0,0.0
wow-qrsk.csv,1.0,3.0,2.0,9.0,0.0,0.0,10.0,2.0,0.0,6.0,2.0,11.0
