,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.24,0.24,0.99,0.4
hibernate.csv,0.15,0.32,0.4,0.95
lamp.csv,0.9,0.19,0.43,0.25
thout.csv,0.18,0.93,0.72,0.4
