,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.43,0.3,0.98,0.52
hibernate.csv,0.36,0.52,0.27,0.91
lamp.csv,0.93,0.14,0.3,0.17
thout.csv,0.86,0.89,0.8,0.78
