,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.27,0.34,0.21,0.27,0.09,0.05,0.09,0.39,0.92,0.09,0.06,0.11,0.36,0.05,0.42,0.1
customsagetv.csv,0.12,0.01,0.0,0.0,0.05,0.0,0.0,0.04,0.31,0.02,0.0,0.0,0.05,0.0,0.17,0.98
fluidium.csv,0.08,0.23,0.02,0.09,0.0,0.4,0.09,0.22,0.15,0.16,0.24,0.18,0.09,0.95,0.2,0.04
guineu.csv,0.92,0.18,0.38,0.55,0.32,0.05,0.05,0.39,0.31,0.09,0.13,0.18,0.36,0.05,0.02,0.4
inkscape.csv,0.23,0.29,0.12,0.55,0.32,0.2,0.98,0.04,0.23,0.41,0.26,0.76,0.2,0.62,0.15,0.04
mpqc.csv,0.42,0.19,0.07,0.0,0.09,0.95,0.07,0.48,0.23,0.2,0.35,0.0,0.3,0.33,0.34,0.62
nsis.csv,0.65,0.81,0.88,0.91,0.95,0.9,0.93,0.57,0.38,0.84,1.0,0.92,0.52,0.9,0.64,0.71
octave.csv,0.42,0.38,0.5,0.73,0.95,0.1,0.12,0.65,0.92,0.07,0.06,0.21,0.36,0.1,0.56,0.9
owfs.csv,0.38,0.06,0.19,0.82,0.05,0.05,0.05,0.22,0.38,0.2,0.15,0.03,0.32,0.0,0.2,0.17
owlib.csv,0.65,0.98,0.74,1.0,0.77,0.3,0.37,0.87,0.77,0.52,0.73,0.55,0.61,0.95,0.53,0.77
pamguard.csv,0.81,0.57,0.93,0.82,0.68,0.4,0.56,0.61,0.62,0.57,0.48,0.39,0.64,0.48,0.95,0.27
prelude.csv,1.0,0.93,1.0,0.91,1.0,0.85,1.0,1.0,0.85,0.98,0.95,0.95,0.91,0.81,0.9,0.96
robocode.csv,0.62,0.3,0.43,0.55,0.5,0.15,0.21,1.0,0.69,0.5,0.13,0.32,0.61,0.1,0.39,0.54
uwom-server.csv,0.54,0.1,0.12,0.27,0.41,0.1,0.23,0.7,0.77,0.89,0.08,0.05,0.48,0.05,0.32,0.92
zengine.csv,0.92,0.91,1.0,1.0,0.77,0.75,0.93,0.83,0.69,0.91,0.6,1.0,0.95,0.67,0.8,0.81
zildo.csv,0.65,0.61,0.69,0.91,0.36,0.2,0.56,0.39,0.54,0.61,0.26,0.21,0.93,0.24,0.44,0.31
