,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.7,0.72,0.76,0.58,0.68,0.76,0.95,0.72,0.98,0.91,0.75
ivatamasks.csv,0.98,0.27,0.97,0.45,0.98,0.84,0.92,0.75,0.92,1.0,0.93
java-gnome.csv,0.33,0.78,0.66,0.51,0.85,0.84,0.52,0.69,0.19,0.84,0.74
orc.csv,0.96,0.8,0.69,0.83,1.02,0.7,0.84,0.79,1.0,1.0,0.78
plato.csv,0.96,1.0,1.0,0.98,0.93,0.25,0.96,0.77,0.68,1.0,0.99
rodin-b-sharp.csv,1.0,1.32,0.51,0.95,0.94,0.82,0.23,0.9,0.58,1.0,0.9
tycho.csv,0.97,0.71,0.66,0.72,0.72,0.7,0.94,0.6,0.83,0.33,0.9
umber.csv,0.16,1.03,0.79,0.59,0.65,0.9,0.54,0.86,0.94,0.96,0.77
unicase.csv,0.36,1.02,0.97,0.93,0.86,0.75,0.73,0.83,0.94,0.83,0.56
vienna-add-in.csv,0.76,1.02,0.83,0.87,0.49,0.62,0.71,0.65,0.83,0.64,0.91
wpdev.csv,1.0,0.0,0.99,1.0,0.98,1.0,1.0,1.01,1.0,0.96,1.0
