,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.6,0.0,0.1,0.13,0.2,0.0,0.16,0.1,0.0,0.0,0.67
ivatamasks.csv,0.98,0.0,0.97,0.45,0.98,0.75,0.89,0.74,0.88,1.0,0.93
java-gnome.csv,0.29,0.0,0.35,0.32,0.8,0.12,0.27,0.51,0.12,0.25,0.28
orc.csv,0.15,0.0,0.02,0.17,0.2,0.12,0.13,0.08,0.0,0.0,0.07
plato.csv,0.96,1.0,1.0,0.98,0.93,0.25,0.96,0.76,0.62,1.0,0.99
rodin-b-sharp.csv,0.0,1.0,0.07,0.19,0.07,0.75,0.1,0.67,0.56,0.04,0.03
tycho.csv,0.49,0.5,0.21,0.57,0.24,0.12,0.6,0.19,0.12,0.21,0.88
umber.csv,0.02,1.0,0.77,0.53,0.41,0.88,0.52,0.8,0.94,0.18,0.17
unicase.csv,0.35,1.0,0.97,0.91,0.71,0.75,0.71,0.83,0.94,0.79,0.55
vienna-add-in.csv,0.75,1.0,0.74,0.85,0.44,0.25,0.5,0.6,0.19,0.54,0.87
wpdev.csv,1.0,0.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0
