,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.63,0.28,0.25,0.44,0.35,0.24,0.06,0.29,0.02,0.09,0.67
ivatamasks.csv,1.0,0.73,0.94,0.92,0.98,0.62,0.77,0.93,0.72,1.0,0.95
java-gnome.csv,0.84,0.22,0.44,0.6,0.73,0.17,0.56,0.54,0.86,0.2,0.31
orc.csv,0.05,0.2,0.31,0.18,0.0,0.31,0.17,0.21,0.0,0.0,0.22
plato.csv,1.0,1.0,0.94,1.0,0.92,0.95,0.98,0.93,0.74,1.0,1.0
rodin-b-sharp.csv,0.0,0.14,0.5,0.07,0.06,0.67,0.79,0.39,0.86,0.0,0.11
tycho.csv,0.16,0.5,0.38,0.56,0.33,0.31,0.28,0.43,0.18,0.74,0.79
umber.csv,0.84,0.76,0.81,0.73,0.49,0.81,0.86,0.68,1.0,0.06,0.25
unicase.csv,0.89,0.81,0.94,0.86,0.52,1.0,0.82,0.93,0.95,0.74,0.89
vienna-add-in.csv,0.84,0.8,0.62,0.84,0.78,0.43,0.5,0.75,0.19,0.66,0.73
wpdev.csv,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.89,1.0,1.0,1.0
