,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,1.0,0.71,1.0,0.12,0.75,0.75,0.52,0.2,0.5,0.23,0.67,0.17,0.76,0.25,0.33,0.67
aztec.csv,0.6,0.81,0.4,0.21,0.07,0.83,0.67,0.28,0.5,0.23,0.71,0.28,0.67,0.22,0.6,0.43
bl-toolkit.csv,0.79,0.65,0.24,0.18,0.17,0.91,0.53,0.12,0.53,0.08,0.65,0.27,0.58,0.22,0.65,0.27
co-ode-owl-plugins.csv,0.0,0.71,1.0,0.13,0.59,0.73,0.67,0.19,0.48,0.12,0.59,0.24,0.67,0.3,0.49,0.72
gbif-indexingtoolkit.csv,0.69,0.67,0.41,0.33,0.15,0.86,0.54,0.14,0.5,0.08,0.62,0.19,0.63,0.25,0.75,0.27
gnukeda.csv,0.87,0.62,0.27,0.17,0.1,0.68,0.82,0.14,0.42,0.04,0.59,0.25,0.61,0.21,0.64,0.4
motu.csv,0.91,0.6,0.32,0.16,0.17,0.76,0.58,0.16,0.48,0.04,0.63,0.53,0.73,0.21,0.7,0.1
oscarmcmaster.csv,0.84,0.65,0.47,0.17,0.09,0.75,0.7,0.15,0.49,0.25,0.64,0.29,0.78,0.25,0.57,0.32
pamguard.csv,0.78,0.71,0.25,0.16,0.18,0.61,0.48,0.09,0.41,0.08,0.79,0.26,0.67,0.23,0.75,0.26
prelude.csv,0.95,0.61,0.33,0.2,0.12,0.67,0.59,0.14,0.49,0.06,0.63,0.22,0.69,0.23,0.65,0.27
qdvdauthor.csv,0.77,0.62,0.31,0.18,0.43,0.69,0.48,0.16,0.51,0.12,0.9,0.09,0.82,0.26,0.68,0.29
qlc.csv,1.0,0.8,0.43,0.17,0.21,0.65,0.82,0.2,0.56,0.2,0.59,0.4,0.85,0.29,0.49,0.0
scite-ru.csv,0.8,0.69,0.41,0.16,0.19,0.69,0.53,0.16,0.52,0.04,0.66,0.23,0.72,0.24,0.72,0.31
tencompetence.csv,0.93,1.0,1.0,0.25,0.14,0.5,0.56,0.12,0.54,0.01,0.71,0.5,0.55,0.14,0.84,0.03
trackit.csv,0.59,0.72,0.19,0.17,0.38,0.6,0.5,0.05,0.4,0.14,0.0,0.27,0.71,0.21,0.24,0.6
yaprm.csv,1.0,0.69,0.3,0.12,0.06,0.47,0.7,0.19,0.67,0.05,0.63,0.5,0.78,0.19,0.68,0.0
