,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.02,0.24,0.05,0.27,0.67,0.8,0.33,0.33,0.46,0.33,0.24,0.62,0.32,0.38,0.02,0.97
aztec.csv,0.21,0.32,0.1,0.45,0.17,0.2,0.31,0.28,0.11,0.79,0.34,0.77,0.1,0.32,0.25,0.69
bl-toolkit.csv,1.0,0.83,0.38,0.64,0.72,0.78,0.87,0.83,0.81,1.0,0.93,0.92,0.55,0.85,0.77,1.0
co-ode-owl-plugins.csv,0.0,0.37,0.19,0.55,0.72,0.94,0.56,0.67,0.68,0.08,0.49,0.77,0.45,0.66,0.24,0.97
gbif-indexingtoolkit.csv,0.52,0.34,0.52,0.64,0.39,0.38,0.51,0.56,0.68,0.62,0.8,0.62,0.48,0.47,0.48,1.0
gnukeda.csv,0.64,0.76,0.81,0.82,0.39,0.3,0.69,0.94,0.35,0.42,0.37,0.69,0.55,0.64,0.94,0.23
motu.csv,0.5,0.61,0.62,0.73,1.0,0.56,0.56,0.94,0.92,0.5,0.95,0.77,0.68,0.89,0.83,0.14
oscarmcmaster.csv,0.5,0.37,0.33,0.45,0.22,0.88,0.49,0.67,0.46,0.04,0.63,0.92,0.62,0.47,0.23,0.83
pamguard.csv,0.95,0.61,0.29,0.27,0.56,0.34,0.26,0.39,0.38,0.67,0.75,0.85,0.35,0.66,0.48,0.97
prelude.csv,0.86,0.54,1.0,1.0,0.67,0.82,0.9,0.72,0.95,0.79,0.93,0.92,0.88,0.94,0.95,0.77
qdvdauthor.csv,0.88,0.49,0.24,0.36,0.33,0.88,0.59,0.61,0.65,0.25,0.15,0.23,0.78,0.4,0.46,0.86
qlc.csv,0.24,0.1,0.48,0.36,0.17,0.3,0.36,0.67,0.38,0.04,0.41,0.31,0.55,0.36,0.13,0.0
scite-ru.csv,0.1,0.76,0.52,0.73,0.83,1.0,0.92,0.89,0.86,0.25,0.98,0.69,0.82,0.85,0.78,0.86
tencompetence.csv,0.67,0.1,0.05,0.18,0.11,0.12,0.26,0.5,0.51,0.04,0.41,0.23,0.15,0.17,0.83,0.06
trackit.csv,0.31,0.71,0.29,0.27,0.17,0.24,0.46,0.06,0.16,0.58,0.0,0.54,0.42,0.21,0.06,0.17
yaprm.csv,0.14,0.44,0.67,0.36,0.22,0.14,0.49,0.56,0.7,0.5,0.64,0.08,0.62,0.49,0.45,0.0
