,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.0,0.71,0.0,0.6,0.94,0.53,0.88,0.77,0.47,0.97,0.95,0.43,0.71,0.77,0.89,0.71
aztec.csv,0.93,0.69,0.8,0.54,0.5,0.75,0.67,0.94,0.88,0.81,0.61,0.39,0.83,0.57,0.6,0.77
bl-toolkit.csv,0.49,0.4,0.53,0.42,0.42,0.44,0.48,0.43,0.37,0.43,0.33,0.32,0.55,0.35,0.43,0.56
co-ode-owl-plugins.csv,0.0,0.57,0.75,0.38,0.95,0.45,0.7,0.56,0.42,0.94,0.53,0.43,0.52,0.59,0.8,0.68
gbif-indexingtoolkit.csv,0.81,0.9,0.7,0.76,0.7,0.86,0.73,0.69,0.44,0.6,0.37,0.48,0.6,0.62,0.75,0.56
gnukeda.csv,0.48,0.48,0.39,0.38,0.51,0.68,0.58,0.42,0.61,0.5,0.57,0.5,0.47,0.5,0.49,0.7
motu.csv,0.43,0.45,0.39,0.37,0.4,0.57,0.39,0.39,0.31,0.43,0.33,0.47,0.35,0.38,0.55,0.73
oscarmcmaster.csv,0.52,0.43,0.8,0.34,0.44,0.39,0.59,0.45,0.46,0.75,0.36,0.34,0.38,0.46,0.53,0.62
pamguard.csv,0.49,0.54,0.58,0.68,0.56,0.64,0.67,0.64,0.62,0.59,0.46,0.47,0.67,0.47,0.61,0.57
prelude.csv,0.47,0.53,0.33,0.34,0.38,0.46,0.44,0.43,0.32,0.43,0.32,0.39,0.35,0.37,0.46,0.56
qdvdauthor.csv,0.54,0.66,0.94,0.64,0.93,0.47,0.62,0.7,0.45,0.98,0.9,0.57,0.47,0.74,0.73,0.7
qlc.csv,0.5,0.8,0.48,0.39,0.93,0.52,0.47,0.47,0.52,0.8,0.41,0.8,0.38,0.59,0.71,0.73
scite-ru.csv,0.8,0.56,0.67,0.38,0.53,0.42,0.44,0.47,0.38,0.71,0.34,0.46,0.39,0.46,0.62,0.51
tencompetence.csv,0.57,0.75,0.0,0.88,0.93,0.92,0.72,0.68,0.63,0.9,0.65,0.83,0.91,0.93,0.65,0.76
trackit.csv,0.95,0.47,0.77,0.72,0.88,0.85,0.81,0.95,0.93,0.93,0.0,0.5,0.83,0.98,0.98,0.9
yaprm.csv,0.67,0.73,0.35,0.58,0.51,0.73,0.44,0.44,0.41,0.43,0.35,0.5,0.41,0.56,0.79,0.88
