,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.59,0.94,0.68,0.93,0.9,0.97,0.24,1.0,1.0,0.9,0.73,0.97,1.0,1.0,1.0,0.77,1.0,1.0,0.86,1.0
doomlegacy.csv,0.38,0.1,0.87,0.19,0.43,0.57,0.92,0.11,0.1,0.95,0.42,0.89,0.28,0.68,0.2,0.42,0.13,1.0,0.4,0.74
elmo.csv,0.31,0.27,0.05,0.26,0.26,0.22,0.11,0.21,0.12,0.08,0.21,0.16,0.22,0.29,0.12,0.42,0.05,0.23,0.24,0.22
enzo.csv,0.94,0.82,0.77,0.93,0.73,0.57,0.65,0.83,0.69,0.72,0.85,0.73,0.63,1.0,0.28,0.77,0.63,0.84,0.78,0.74
gpac.csv,0.03,0.93,0.95,0.7,0.29,0.67,0.99,0.38,0.98,0.97,0.88,0.97,0.6,0.82,0.04,0.42,0.97,0.95,0.33,0.7
img-browse-sort.csv,0.46,0.85,0.51,0.3,0.45,0.46,0.36,0.64,0.78,0.82,0.64,0.54,0.71,0.21,0.08,0.19,0.94,0.62,0.45,0.54
ktc.csv,0.25,0.31,0.23,0.07,0.16,0.13,0.24,0.38,0.21,0.28,0.08,0.11,0.24,0.68,0.08,0.12,0.31,0.09,0.28,0.24
neoengine.csv,0.16,0.9,0.3,0.26,0.22,0.35,0.46,0.96,0.55,0.46,0.08,0.19,0.69,0.45,0.12,0.46,0.83,0.23,0.45,0.5
nicepress.csv,0.48,0.78,0.92,0.52,0.53,0.16,0.57,0.96,0.98,0.62,0.28,0.86,0.63,0.66,0.28,0.08,0.73,0.88,0.79,0.39
open-ms.csv,0.38,0.21,0.4,0.07,0.22,0.16,0.6,0.15,0.11,0.05,0.24,0.41,0.25,0.84,0.04,0.46,0.11,0.27,0.36,0.28
pcsx2.csv,0.47,0.97,0.12,0.74,0.22,0.52,0.2,0.45,0.32,0.33,0.17,0.24,0.4,0.53,0.44,0.23,1.0,0.32,0.85,0.46
pi-qmc.csv,0.28,1.0,0.51,0.56,0.31,0.35,0.28,1.0,0.86,0.41,0.28,0.27,0.74,0.89,0.16,0.58,0.15,0.12,0.39,0.65
rosegarden.csv,0.44,0.55,0.91,0.11,0.23,0.23,0.59,0.49,0.29,0.18,0.28,0.57,0.43,0.68,0.36,0.65,0.66,0.62,0.82,0.43
salasaga.csv,0.31,0.19,0.38,0.26,0.46,0.86,0.3,0.79,0.77,0.82,0.62,0.11,0.58,0.5,0.68,0.31,0.34,0.09,0.36,0.74
sigil.csv,0.49,0.31,0.22,0.19,0.56,0.41,0.58,0.26,0.09,0.9,0.69,0.22,0.23,0.32,0.24,0.27,0.12,0.09,0.45,0.67
skia.csv,0.18,0.28,0.13,0.11,0.09,0.16,0.13,0.26,0.23,0.1,0.14,0.08,0.26,0.53,0.08,0.38,0.38,0.11,0.5,0.22
smarttag.csv,0.71,0.13,0.1,0.48,0.71,0.62,0.6,0.23,0.0,0.41,0.76,0.05,0.15,0.16,1.0,0.88,0.0,0.04,0.68,0.65
sylpheed-claws.csv,0.88,1.0,0.85,1.0,0.91,1.0,0.82,0.45,0.3,0.92,0.99,0.95,1.0,0.92,1.0,1.0,1.0,1.0,0.97,0.98
xemeiah.csv,0.33,0.15,0.8,0.07,0.36,0.62,0.92,0.6,0.72,0.87,0.27,0.35,0.46,0.79,0.76,0.27,0.52,0.27,0.47,0.65
zscreen.csv,0.51,0.18,0.7,0.07,0.6,0.72,0.83,0.21,0.12,0.97,0.71,0.46,0.46,0.84,1.0,0.38,0.97,0.21,0.59,0.85
