,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.39,0.26,0.62,0.59,0.52,0.54,0.12,0.7,0.53,0.25
fritzing.csv,0.75,0.74,0.73,0.61,0.8,0.67,0.24,0.39,0.66,0.52
jlinalg.csv,0.83,0.49,0.37,0.43,0.39,0.83,0.33,0.63,0.33,0.52
knowledge.csv,0.79,0.67,0.66,0.48,0.87,0.62,0.23,0.56,0.62,0.64
massiv.csv,0.15,0.28,0.37,0.0,0.0,0.99,0.0,0.62,0.0,0.23
oscarmcmaster.csv,0.44,0.56,0.55,0.54,0.7,0.67,0.12,0.61,0.38,0.52
playerstage.csv,0.57,0.66,0.7,0.74,0.68,0.53,0.12,0.24,0.37,0.64
quarkplusplus.csv,0.72,0.78,0.62,0.5,0.66,0.53,0.12,0.17,0.57,0.38
rtrt-on-gpu.csv,0.41,0.39,0.42,0.47,0.0,0.0,0.64,0.06,0.43,0.39
superwaba.csv,0.52,0.76,0.72,0.67,0.74,0.69,0.12,0.68,0.5,0.55
