,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.0,54.0,0.0,5.0,36.0,1.0,1.0,5.0,15.0,8.0,2.0,5.0,1.0,1.0,2.0
fmri-dmt.csv,499.0,2.0,1.0,145.0,117.0,51.0,0.0,125.0,64.0,81.0,49.0,2.0,1.0,1.0,89.0
ftm.csv,15.0,53.0,0.0,1.0,117.0,0.0,0.0,3.0,6.0,6.0,2.0,9.0,0.0,0.0,9.0
fulguro.csv,0.0,50.0,0.0,145.0,117.0,3.0,1.0,125.0,1.0,7.0,1.0,4.0,1.0,1.0,0.0
gss.csv,0.0,53.0,1.0,6.0,61.0,1.0,15.0,4.0,13.0,8.0,0.0,3.0,2.0,3.0,1.0
illumination.csv,97.0,584.0,0.0,2.0,117.0,7.0,15.0,1.0,7.0,0.0,0.0,2.0,3.0,3.0,3.0
ldview.csv,30.0,12.0,0.0,3.0,117.0,1.0,3.0,1.0,11.0,5.0,4.0,2.0,1.0,2.0,2.0
monetdb.csv,14.0,11.0,0.0,0.0,117.0,1.0,14.0,23.0,9.0,4.0,1.0,2.0,0.0,0.0,1.0
netatalk.csv,1.0,41.0,1.0,3.0,117.0,0.0,10.0,3.0,8.0,1.0,3.0,4.0,0.0,7.0,15.0
olex2.csv,23.0,12.0,1.0,9.0,117.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,3.0
qpe.csv,0.0,8.0,0.0,2.0,64.0,1.0,5.0,1.0,16.0,7.0,0.0,8.0,1.0,0.0,4.0
quark.csv,499.0,584.0,0.0,0.0,117.0,51.0,67.0,125.0,0.0,0.0,1.0,130.0,1.0,131.0,89.0
sepgsql.csv,1.0,0.0,0.0,2.0,117.0,0.0,67.0,1.0,0.0,3.0,1.0,1.0,1.0,131.0,89.0
synergyspace.csv,0.0,1.0,57.0,0.0,117.0,51.0,3.0,0.0,64.0,4.0,3.0,0.0,9.0,131.0,89.0
