,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.64,0.42,0.62,0.76,0.49,0.93,0.43,0.57,0.59,0.68,0.55,0.43,0.55,0.72,0.54
fmri-dmt.csv,0.0,0.83,0.67,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.67,0.67,0.0
ftm.csv,0.57,0.4,0.65,0.41,0.44,0.48,0.37,0.57,0.39,0.6,0.52,0.46,0.55,0.64,0.49
fulguro.csv,0.97,0.99,0.8,0.83,0.91,0.75,0.88,0.86,0.67,0.95,0.8,0.93,0.98,0.83,0.9
gss.csv,0.47,0.44,0.51,0.39,0.37,0.5,0.31,0.37,0.34,0.39,0.41,0.35,0.36,0.58,0.46
illumination.csv,0.91,0.97,0.57,0.58,0.94,0.76,0.71,0.68,0.42,0.93,0.44,0.95,0.79,0.74,0.83
ldview.csv,0.79,0.81,0.74,0.56,0.73,0.93,0.92,0.92,0.7,0.7,0.71,0.7,0.56,0.78,0.58
monetdb.csv,0.58,0.69,0.62,0.61,0.67,0.92,0.72,0.57,0.65,0.61,0.89,0.51,0.49,0.65,0.44
netatalk.csv,0.6,0.34,0.67,0.51,0.5,0.71,0.45,0.75,0.38,0.81,0.75,0.71,0.7,0.54,0.45
olex2.csv,0.56,0.52,0.67,0.48,0.35,0.62,0.52,0.44,0.41,0.79,0.59,0.54,0.4,0.42,0.63
qpe.csv,0.97,0.92,0.48,0.53,0.56,0.58,0.68,0.67,0.4,0.46,0.38,0.74,0.52,0.83,0.56
quark.csv,0.0,0.0,0.86,0.94,0.9,0.0,0.0,0.0,0.92,0.75,0.75,0.0,0.8,0.0,0.0
sepgsql.csv,0.86,0.96,0.83,0.92,0.91,0.5,0.83,0.87,0.0,0.9,0.71,0.94,0.93,0.0,0.93
synergyspace.csv,0.98,0.96,0.5,0.5,0.95,0.0,0.92,0.95,0.83,0.9,0.75,0.8,0.89,0.0,0.0
