,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.42,0.64,0.8,0.62,0.64,0.67,0.71,0.73,0.52,0.83,0.16,0.5,0.88,0.66,0.43,0.81,0.77,0.76,0.95,0.11
apertium.csv,0.73,0.24,0.31,0.33,0.47,0.47,0.45,0.05,0.48,0.78,0.8,0.06,0.25,0.74,0.14,0.4,0.37,0.22,0.0,0.58
beast-mcmc.csv,0.71,0.73,0.67,0.74,0.61,0.69,0.59,0.64,0.72,0.67,0.88,0.75,0.96,0.89,0.75,0.69,0.37,0.71,0.82,0.89
bigdata.csv,0.33,0.33,0.37,0.49,0.66,0.53,0.36,1.0,0.56,0.24,0.04,0.62,0.58,0.47,1.0,0.78,0.63,0.34,0.27,0.58
cuberok.csv,0.53,0.76,0.2,0.44,0.25,0.75,0.47,0.68,0.68,0.33,0.44,0.5,0.93,0.3,0.39,0.56,0.49,0.32,1.0,0.42
exist.csv,0.89,0.91,0.8,0.77,0.66,0.75,0.91,0.77,1.0,0.84,0.52,0.88,0.8,0.79,0.79,0.44,0.71,0.54,0.95,0.68
icescrum.csv,0.73,0.48,0.33,0.38,0.55,0.28,0.57,0.45,0.64,0.73,0.6,0.25,0.33,0.72,0.46,0.39,0.34,0.37,0.23,0.63
jbasic.csv,0.82,0.58,0.49,0.49,0.88,0.64,0.8,0.59,0.8,0.79,0.96,0.5,0.96,0.81,0.11,0.41,0.43,0.66,0.86,0.89
jgnash.csv,0.58,0.61,0.33,0.79,0.73,0.33,0.57,0.59,0.64,0.25,0.2,0.56,0.44,0.3,0.68,0.62,0.83,0.51,0.18,0.89
jrefactory.csv,0.79,0.67,0.76,0.72,0.41,0.14,0.36,0.59,0.44,0.76,0.88,0.81,0.12,0.53,0.61,0.49,0.97,0.46,0.41,0.58
jsecurity.csv,0.36,0.55,0.39,0.69,0.17,0.58,0.45,0.36,0.8,0.22,0.16,0.19,0.65,0.45,0.21,0.26,0.14,0.29,0.14,0.21
libopenmetaverse.csv,0.97,1.0,1.0,1.0,1.0,0.61,0.99,0.82,1.0,1.0,0.96,0.94,0.54,0.98,1.0,1.0,1.0,0.78,0.27,1.0
mobicents.csv,0.86,0.79,0.51,0.51,0.52,0.61,0.69,0.91,0.64,0.9,0.6,0.62,0.93,0.83,0.54,0.6,0.91,0.71,0.95,0.89
mp-rechnungs-und-kundenverwaltung.csv,0.82,0.48,0.53,0.67,0.55,0.17,0.53,0.5,0.32,1.0,0.92,0.25,0.13,0.64,0.07,0.59,0.71,0.44,0.14,0.32
opendvr.csv,0.67,0.61,0.37,0.41,0.45,0.92,0.58,0.27,0.72,0.6,0.36,0.38,0.9,0.74,0.46,0.68,0.17,0.32,0.64,0.47
openefm.csv,0.64,0.64,0.82,0.56,0.06,0.25,0.82,0.5,0.56,0.14,0.76,0.25,0.62,0.62,0.39,0.05,0.0,0.44,0.23,0.74
sidekar.csv,0.0,0.36,0.0,0.0,0.8,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wheat.csv,0.58,0.58,0.24,0.54,0.45,0.47,0.59,0.5,0.52,0.56,0.84,0.25,0.92,0.64,0.71,0.57,0.14,0.63,0.59,0.68
wsmt.csv,0.21,0.33,0.1,0.13,0.09,0.11,0.33,0.0,0.2,0.19,0.08,0.19,0.21,0.11,0.14,0.35,0.77,0.12,0.09,0.26
yarp0.csv,0.83,0.7,0.76,0.85,0.73,0.72,0.64,0.59,0.48,0.92,0.92,0.69,0.7,0.89,0.54,0.59,0.69,0.63,0.27,0.47
