,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.67,0.33,0.35,0.42,0.73,0.38,0.22,0.42
javagroups.csv,0.52,0.3,0.72,0.48,0.5,0.63,0.12,0.53
jrefactory.csv,0.0,0.0,0.32,0.71,0.54,0.3,0.58,0.47
logicmail.csv,0.84,0.09,0.0,0.0,0.13,0.5,0.53,0.41
nodal.csv,0.5,0.05,0.34,0.29,0.43,0.65,0.0,0.53
soar.csv,0.0,0.52,0.65,0.59,0.52,0.0,0.64,0.0
taverna.csv,0.36,0.7,0.4,0.14,0.48,0.52,0.42,0.37
web-cat.csv,0.59,0.55,0.49,0.19,0.62,0.52,0.3,0.78
