,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.0,0.0,0.0,1.0,0.0,2.0,30.0,0.0,0.0,2.0,18.0,2.0,294.0,2.0,7.0
applet2app.csv,0.0,0.0,3.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,46.0,4.0,1487.0,0.0,54.0
bloodycore.csv,0.0,12.0,4.0,19.0,5.0,28.0,3.0,4.0,1.0,9.0,120.0,0.0,401.0,2.0,54.0
brlcad.csv,1.0,11.0,3.0,16.0,0.0,0.0,1.0,5.0,0.0,4.0,67.0,3.0,103.0,0.0,6.0
lportal.csv,5.0,0.0,1.0,0.0,3.0,181.0,3.0,1.0,0.0,0.0,9.0,2.0,745.0,0.0,41.0
mplayer-ce.csv,0.0,1.0,0.0,16.0,4.0,26.0,3.0,0.0,1.0,8.0,171.0,0.0,1644.0,3.0,48.0
ossbuild.csv,0.0,5.0,0.0,32.0,5.0,12.0,3.0,4.0,1.0,8.0,91.0,0.0,784.0,0.0,17.0
pfaedit.csv,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,169.0,0.0,43.0,4.0,30.0
qtwin.csv,0.0,4.0,23.0,5.0,250.0,181.0,5.0,1509.0,88.0,3.0,14.0,0.0,27.0,2.0,584.0
reactos-mirror.csv,0.0,15.0,9.0,25.0,5.0,33.0,0.0,4.0,0.0,4.0,110.0,0.0,1925.0,4.0,54.0
sepgsql.csv,4.0,2.0,17.0,9.0,0.0,0.0,3.0,4.0,0.0,2.0,94.0,2.0,439.0,0.0,5.0
unladen-swallow.csv,10.0,34.0,13.0,67.0,49.0,9.0,3.0,7.0,2.0,6.0,15.0,1.0,483.0,5.0,58.0
uwom.csv,0.0,9.0,0.0,33.0,0.0,1.0,3.0,2.0,0.0,4.0,142.0,0.0,870.0,3.0,9.0
virtuoso.csv,1.0,41.0,0.0,69.0,0.0,0.0,3.0,5.0,1.0,8.0,156.0,0.0,1239.0,3.0,19.0
wow-qrsk.csv,1.0,2.0,0.0,40.0,0.0,0.0,12.0,0.0,0.0,1.0,50.0,0.0,867.0,1.0,13.0
