,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.31,0.19,0.26,0.17,0.18,0.33,0.41,0.29,0.17,0.43,0.38,0.26,0.29,0.24,0.51
applet2app.csv,1.0,0.19,0.25,0.19,0.91,0.59,0.82,0.61,0.17,0.36,0.41,0.54,0.81,0.58,1.0
bloodycore.csv,0.95,0.39,0.26,0.36,0.98,0.67,0.2,0.43,0.34,0.09,0.28,0.99,0.18,0.02,0.97
brlcad.csv,0.08,0.45,0.12,0.4,0.0,0.15,0.15,0.37,0.03,0.41,0.28,0.17,0.09,0.07,0.03
lportal.csv,0.38,0.01,0.01,0.0,0.05,0.02,0.16,0.1,0.0,0.03,0.16,0.04,0.39,0.0,0.31
mplayer-ce.csv,0.35,0.37,0.49,0.31,0.57,0.86,0.9,0.38,0.57,0.88,0.97,0.13,0.87,0.6,0.89
ossbuild.csv,0.38,0.69,0.24,0.72,0.22,0.2,0.64,0.6,0.26,0.44,0.45,0.39,0.39,0.18,0.39
pfaedit.csv,0.02,0.34,0.2,0.21,0.05,0.39,0.24,0.08,0.26,0.54,0.38,0.06,0.14,0.13,0.18
qtwin.csv,0.0,0.07,0.12,0.05,0.0,0.04,0.04,0.0,0.0,0.52,0.21,0.0,0.09,0.1,0.0
reactos-mirror.csv,1.0,0.6,0.6,0.56,1.0,1.0,0.41,1.0,0.23,0.31,0.42,0.27,0.99,0.98,1.0
sepgsql.csv,0.6,0.32,0.18,0.29,0.27,0.31,0.44,0.29,0.14,0.36,0.35,0.25,0.29,0.09,0.32
unladen-swallow.csv,0.62,0.24,0.64,0.21,0.63,0.57,0.25,0.47,0.49,0.19,0.25,0.5,0.26,0.27,0.36
uwom.csv,0.05,0.3,0.38,0.39,0.0,0.02,0.84,0.4,0.0,0.68,0.46,0.16,0.45,0.66,0.08
virtuoso.csv,0.07,0.95,0.6,0.93,0.32,0.21,0.86,0.99,1.0,0.92,0.67,1.0,0.68,0.61,0.12
wow-qrsk.csv,0.25,0.24,0.29,0.3,0.04,0.02,0.22,0.16,0.0,0.37,0.43,0.05,0.46,0.52,0.37
