,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.45,0.7,0.37,0.72,0.22,0.67,0.75,0.4,0.51,0.55,0.76,0.46,0.92,0.78,0.72
applet2app.csv,0.0,0.67,0.45,0.67,0.28,0.72,0.52,0.55,0.54,0.64,0.77,0.63,0.54,0.73,0.0
bloodycore.csv,0.21,0.46,0.65,0.41,0.09,0.62,0.31,0.33,0.49,0.1,0.37,0.05,0.54,0.23,0.13
brlcad.csv,0.15,0.61,0.17,0.6,0.07,0.43,0.24,0.74,0.42,0.51,0.71,0.18,0.38,0.15,0.09
lportal.csv,0.4,0.12,0.04,0.12,0.07,0.0,0.21,0.04,0.05,0.1,0.72,0.18,0.2,0.1,0.58
mplayer-ce.csv,0.61,0.77,0.56,0.74,0.44,0.44,0.34,0.34,0.63,0.39,0.13,0.39,0.43,0.53,0.38
ossbuild.csv,0.48,0.66,0.38,0.63,0.73,0.44,0.58,0.74,0.59,0.56,0.75,0.49,0.52,0.7,0.76
pfaedit.csv,0.05,0.62,0.37,0.61,0.07,0.62,0.51,0.25,0.79,0.54,0.19,0.11,0.84,0.67,0.46
qtwin.csv,0.0,0.45,0.12,0.44,0.0,0.0,0.07,0.0,0.0,0.51,0.34,0.01,0.98,0.17,0.0
reactos-mirror.csv,0.0,0.68,0.58,0.72,0.0,0.0,0.59,0.0,0.54,0.53,0.61,0.66,0.05,0.09,0.0
sepgsql.csv,0.59,0.75,0.35,0.75,0.29,0.53,0.63,0.64,0.58,0.55,0.7,0.43,0.92,0.7,0.81
unladen-swallow.csv,0.54,0.39,0.55,0.4,0.27,0.58,0.62,0.58,0.6,0.38,0.54,0.47,0.68,0.66,0.3
uwom.csv,0.06,0.84,0.4,0.8,0.11,0.15,0.44,0.58,0.09,0.59,0.72,0.37,0.64,0.69,0.18
virtuoso.csv,0.16,0.21,0.52,0.27,0.29,0.63,0.41,0.05,0.0,0.3,0.58,0.0,0.63,0.72,0.46
wow-qrsk.csv,0.3,0.82,0.34,0.84,0.11,0.06,0.47,0.37,0.16,0.57,0.75,0.24,0.51,0.73,0.63
