,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.52,0.5,0.19,0.49,0.13,0.38,0.2,0.29,0.81,0.41,0.08,0.53,0.01,0.56,0.07
applet2app.csv,0.45,0.48,0.23,0.45,0.09,0.31,0.14,0.25,0.82,0.5,0.08,0.47,0.0,0.39,0.05
bloodycore.csv,0.46,0.24,0.3,0.2,0.13,0.26,0.15,0.19,0.68,0.34,0.05,0.4,0.01,0.8,0.05
brlcad.csv,0.56,0.28,0.18,0.26,0.67,0.43,0.15,0.41,0.95,0.4,0.1,0.38,0.01,0.41,0.11
lportal.csv,0.45,0.78,0.33,0.86,0.14,0.0,0.13,0.09,1.0,0.6,0.15,0.71,0.0,1.0,0.08
mplayer-ce.csv,0.58,0.38,0.17,0.36,0.1,0.24,0.11,0.21,0.66,0.36,0.04,0.63,0.0,0.28,0.05
ossbuild.csv,0.49,0.27,0.21,0.23,0.32,0.38,0.12,0.34,0.77,0.41,0.07,0.45,0.0,0.61,0.09
pfaedit.csv,0.62,0.34,0.23,0.4,0.15,0.32,0.2,0.45,0.83,0.37,0.02,0.5,0.01,0.66,0.1
qtwin.csv,1.0,0.62,0.13,0.63,0.0,0.0,0.18,0.0,0.0,0.36,0.06,1.0,0.03,0.36,0.0
reactos-mirror.csv,0.45,0.28,0.16,0.27,0.13,0.23,0.16,0.25,0.77,0.47,0.06,0.62,0.0,0.29,0.05
sepgsql.csv,0.48,0.4,0.24,0.38,0.12,0.32,0.16,0.42,0.85,0.45,0.08,0.52,0.01,0.74,0.11
unladen-swallow.csv,0.45,0.29,0.15,0.29,0.06,0.25,0.24,0.29,0.67,0.5,0.08,0.39,0.01,0.49,0.03
uwom.csv,0.45,0.45,0.15,0.34,0.75,0.62,0.11,0.32,1.0,0.38,0.07,0.58,0.0,0.36,0.08
virtuoso.csv,0.61,0.21,0.14,0.19,0.1,0.45,0.1,0.25,0.61,0.36,0.04,0.41,0.0,0.38,0.14
wow-qrsk.csv,0.46,0.5,0.16,0.4,0.27,0.4,0.21,0.39,1.0,0.46,0.08,0.74,0.0,0.39,0.08
