,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.46,0.57,0.24,0.58,0.16,0.48,0.33,0.33,0.59,0.47,0.15,0.47,0.02,0.66,0.13
applet2app.csv,0.62,0.55,0.29,0.53,0.15,0.46,0.24,0.36,0.62,0.56,0.15,0.56,0.01,0.54,0.09
bloodycore.csv,0.62,0.3,0.41,0.26,0.23,0.39,0.19,0.23,0.55,0.13,0.08,0.57,0.01,0.31,0.09
brlcad.csv,0.19,0.39,0.16,0.36,0.11,0.41,0.17,0.54,0.53,0.44,0.17,0.22,0.02,0.19,0.09
lportal.csv,0.41,0.18,0.05,0.18,0.09,0.0,0.15,0.04,0.07,0.14,0.25,0.25,0.0,0.16,0.14
mplayer-ce.csv,0.59,0.52,0.26,0.49,0.16,0.39,0.19,0.25,0.69,0.51,0.08,0.44,0.01,0.38,0.1
ossbuild.csv,0.47,0.42,0.26,0.37,0.44,0.39,0.21,0.5,0.65,0.47,0.13,0.46,0.01,0.64,0.16
pfaedit.csv,0.07,0.43,0.27,0.47,0.09,0.42,0.29,0.29,0.81,0.44,0.03,0.15,0.03,0.64,0.16
qtwin.csv,0.01,0.48,0.11,0.48,0.0,0.0,0.09,0.0,0.0,0.43,0.1,0.01,0.05,0.2,0.0
reactos-mirror.csv,0.62,0.42,0.26,0.41,0.23,0.38,0.25,0.4,0.61,0.49,0.11,0.63,0.0,0.45,0.09
sepgsql.csv,0.56,0.53,0.27,0.51,0.16,0.39,0.26,0.5,0.66,0.49,0.15,0.45,0.02,0.7,0.2
unladen-swallow.csv,0.52,0.32,0.25,0.32,0.09,0.36,0.34,0.39,0.65,0.4,0.14,0.42,0.01,0.55,0.06
uwom.csv,0.09,0.6,0.21,0.49,0.17,0.2,0.19,0.41,0.14,0.51,0.13,0.42,0.01,0.51,0.11
virtuoso.csv,0.21,0.35,0.23,0.31,0.15,0.52,0.18,0.4,0.76,0.51,0.08,0.58,0.01,0.53,0.21
wow-qrsk.csv,0.33,0.62,0.21,0.55,0.14,0.09,0.28,0.35,0.23,0.51,0.14,0.31,0.01,0.54,0.14
