,mplayer-ce.csv,uwom.csv,bloodycore.csv,wow-qrsk.csv,ossbuild.csv,virtuoso.csv,unladen-swallow.csv,brlcad.csv,pfaedit.csv,applet2app.csv,lportal.csv,reactos-mirror.csv,qtwin.csv,acdk.csv,sepgsql.csv
acdk.csv,0.67,0.37,0.72,0.35,0.83,0.47,0.45,0.7,0.56,0.63,0.43,0.63,0.29,0.33,0.54
applet2app.csv,1.0,0.41,0.64,0.4,1.0,0.6,0.82,0.71,0.53,0.51,0.44,0.62,0.81,0.59,1.0
bloodycore.csv,0.95,0.69,0.46,0.72,0.98,0.7,0.76,0.82,0.64,0.92,0.72,0.99,0.53,0.81,0.97
brlcad.csv,0.89,0.58,0.86,0.57,0.94,0.64,0.82,0.43,0.63,0.65,0.41,0.86,0.67,0.88,0.93
lportal.csv,0.73,0.9,0.97,0.9,0.94,1.0,0.83,0.98,0.96,0.92,0.35,0.85,0.92,0.92,0.54
mplayer-ce.csv,0.53,0.42,0.65,0.4,0.8,0.87,0.91,0.79,0.64,0.89,0.97,0.68,0.87,0.73,0.89
ossbuild.csv,0.67,0.7,0.7,0.72,0.36,0.63,0.72,0.61,0.51,0.62,0.48,0.66,0.64,0.37,0.43
pfaedit.csv,0.96,0.52,0.7,0.47,0.94,0.55,0.58,0.79,0.33,0.7,0.93,0.91,0.22,0.39,0.62
qtwin.csv,1.0,0.61,0.91,0.62,1.0,1.0,0.94,1.0,1.0,0.7,0.73,0.99,0.09,0.86,1.0
reactos-mirror.csv,1.0,0.63,0.69,0.58,1.0,1.0,0.58,1.0,0.55,0.59,0.57,0.45,0.99,0.98,1.0
sepgsql.csv,0.68,0.39,0.71,0.38,0.8,0.59,0.56,0.47,0.48,0.59,0.45,0.66,0.29,0.35,0.35
unladen-swallow.csv,0.73,0.69,0.73,0.67,0.98,0.67,0.47,0.62,0.61,0.69,0.55,0.73,0.42,0.45,0.82
uwom.csv,0.95,0.33,0.74,0.41,0.91,0.88,0.87,0.59,0.93,0.72,0.5,0.69,0.56,0.67,0.86
virtuoso.csv,0.88,0.95,0.75,0.93,0.81,0.46,0.89,0.99,1.0,0.92,0.73,1.0,0.7,0.62,0.6
wow-qrsk.csv,0.78,0.29,0.76,0.33,0.91,0.95,0.61,0.7,0.87,0.57,0.47,0.8,0.68,0.55,0.52
