,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.98,0.94,0.67,0.87,0.8,0.8,0.83,0.7,0.57,0.47,0.52,0.31,0.79,0.95,0.52,0.71,0.86,0.48,0.48,0.86
baadengine.csv,0.53,0.35,0.71,0.38,0.4,0.5,0.54,0.35,0.36,0.36,0.43,0.29,0.4,0.34,0.41,0.33,0.36,0.39,0.44,0.52
bibedt.csv,0.99,0.43,0.83,0.48,0.58,0.53,0.55,0.64,0.46,0.88,0.6,0.5,0.62,0.56,0.92,0.97,0.67,0.55,0.73,0.81
cascading.csv,0.43,0.45,0.38,0.53,0.38,0.62,0.58,0.42,0.39,0.57,0.59,0.32,0.48,0.36,0.55,0.42,0.45,0.5,0.61,0.86
dataobjectsdotnet.csv,0.43,0.34,0.44,0.67,0.6,0.86,0.48,0.54,0.98,0.47,0.51,0.75,0.35,0.64,0.54,0.53,0.68,0.59,0.51,0.0
gnome-jabber.csv,0.56,0.44,0.43,0.44,0.43,0.48,0.67,0.45,0.53,0.44,0.5,0.31,0.38,0.46,0.51,0.47,0.43,0.48,0.45,0.45
gogoego.csv,0.6,0.53,0.46,0.56,0.5,0.59,0.47,0.6,0.46,0.35,0.5,0.53,0.38,0.45,0.52,0.38,0.38,0.51,0.9,0.33
httpcontentparser.csv,0.57,0.44,0.56,0.71,0.44,0.88,0.5,0.44,0.4,0.75,0.68,0.37,0.48,0.46,0.49,0.51,0.54,0.54,0.71,0.5
impala.csv,0.96,0.53,0.94,0.59,0.56,0.57,0.64,0.54,0.6,0.95,0.56,0.86,0.62,0.67,0.67,0.83,0.94,0.93,0.79,0.91
jaxlib.csv,0.58,0.74,0.98,0.52,0.45,0.62,0.54,0.57,0.98,0.6,0.48,0.8,0.64,0.45,0.96,0.72,0.61,0.82,0.68,0.8
jgameai.csv,0.49,0.67,0.95,0.96,0.92,0.69,0.67,0.94,0.82,0.73,0.87,0.44,0.87,0.7,0.94,0.83,0.83,0.98,0.54,0.98
jhotdraw.csv,0.55,0.61,0.41,0.56,0.45,0.6,0.0,0.39,0.85,0.78,0.86,0.56,0.9,0.94,0.6,0.7,0.48,0.63,0.93,0.93
loki-lib.csv,0.92,0.6,0.4,0.43,0.4,0.57,0.56,0.42,0.41,0.38,0.52,0.4,0.45,0.33,0.6,0.52,0.59,0.47,0.47,0.52
patterntesting.csv,0.42,0.36,0.38,0.42,0.39,0.49,0.54,0.36,0.38,0.57,0.46,0.31,0.44,0.4,0.41,0.37,0.4,0.45,0.49,0.56
pokeglobal.csv,0.43,0.4,0.36,0.67,0.44,0.52,0.54,0.56,0.39,0.6,0.52,0.38,0.39,0.53,0.51,0.41,0.62,0.61,0.61,0.67
snakeyaml.csv,0.5,0.81,0.96,0.57,0.61,0.48,0.52,0.7,0.43,0.67,0.48,0.38,0.75,0.56,0.56,0.6,0.57,0.63,0.83,0.59
unflobtactical.csv,0.42,0.4,0.39,0.51,0.52,0.52,0.75,0.53,0.45,0.64,0.5,0.52,0.5,0.38,0.86,0.5,0.52,0.56,0.59,0.44
werx.csv,0.42,0.41,0.37,0.41,0.41,0.49,0.54,0.38,0.36,0.43,0.45,0.3,0.39,0.38,0.41,0.33,0.4,0.43,0.44,0.52
zealos.csv,0.99,0.89,0.65,0.93,0.67,0.94,0.64,0.99,0.99,0.91,0.93,0.73,0.75,0.75,0.75,0.75,0.85,0.96,0.89,0.0
