,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.49,1.0,0.23,0.54,0.6,0.14,0.37,0.14,0.86,0.0,0.35,0.5
gdis.csv,0.61,0.31,0.2,0.56,0.54,0.14,0.29,0.16,0.98,0.02,0.42,0.42
kml.csv,0.6,0.31,0.3,0.54,0.97,0.21,0.49,0.27,0.89,0.0,0.62,0.46
ppcboot.csv,0.75,0.35,0.27,1.0,0.64,0.16,0.48,0.23,0.81,0.02,0.47,0.42
repositorium.csv,0.61,0.28,0.18,0.54,0.6,1.0,0.2,0.29,0.83,0.0,0.44,0.45
rsyslog.csv,1.0,0.37,0.29,0.59,0.65,0.16,0.37,0.2,0.89,0.04,0.45,0.43
simplewebservices.csv,0.5,0.35,0.16,0.62,0.54,0.0,0.58,0.25,0.77,0.0,0.33,1.0
ultimairis.csv,0.59,0.28,0.24,0.55,0.61,0.14,1.0,0.12,0.85,0.02,0.39,0.43
wow-qrsk.csv,0.53,0.26,0.98,0.54,0.59,0.0,0.6,0.05,0.87,0.04,0.52,0.45
wxstudio.csv,0.47,0.27,0.13,0.43,0.47,0.11,0.42,0.0,0.62,0.05,0.97,0.5
xbg.csv,0.5,0.0,0.22,0.5,0.5,0.0,0.54,1.0,0.8,0.07,0.47,0.43
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
