,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,4.0,0.0,61.0,0.0,2.0,3.0,1.0,4.0,0.0,119.0,0.0,3.0
gdis.csv,3.0,1.0,51.0,0.0,1.0,3.0,3.0,9.0,0.0,40.0,0.0,0.0
kml.csv,3.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,119.0,0.0,2.0
ppcboot.csv,1.0,2.0,14.0,0.0,1.0,12.0,2.0,4.0,2.0,52.0,0.0,1.0
repositorium.csv,1.0,13.0,54.0,0.0,2.0,0.0,0.0,2.0,0.0,119.0,0.0,0.0
rsyslog.csv,0.0,0.0,4.0,0.0,1.0,4.0,1.0,5.0,0.0,29.0,4.0,2.0
simplewebservices.csv,4.0,8.0,29.0,0.0,3.0,96.0,0.0,3.0,0.0,119.0,0.0,0.0
ultimairis.csv,4.0,7.0,32.0,0.0,3.0,3.0,0.0,13.0,1.0,68.0,0.0,0.0
wow-qrsk.csv,4.0,7.0,0.0,0.0,1.0,96.0,1.0,8.0,0.0,19.0,0.0,0.0
wxstudio.csv,6.0,7.0,54.0,0.0,1.0,4.0,0.0,62.0,4.0,18.0,0.0,3.0
xbg.csv,1.0,143.0,23.0,0.0,5.0,96.0,0.0,0.0,1.0,21.0,0.0,0.0
xqilla.csv,49.0,143.0,938.0,236.0,74.0,96.0,150.0,62.0,69.0,0.0,85.0,240.0
