,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.97,0.12,0.63,0.83,0.52,0.76,0.73,0.88,0.59,1.03,0.83,0.66
gdis.csv,0.6,0.85,0.76,0.79,0.72,0.66,0.84,0.78,0.08,0.85,0.87,0.8
kml.csv,0.59,0.65,0.48,0.72,0.06,0.66,0.56,0.38,0.51,1.26,0.6,0.69
ppcboot.csv,0.35,0.58,0.54,0.03,0.46,0.63,0.61,0.45,0.73,0.84,0.65,0.94
repositorium.csv,0.57,0.71,0.74,0.82,0.56,0.18,0.96,0.43,0.78,1.12,0.69,0.67
rsyslog.csv,0.04,0.57,0.49,0.67,0.5,0.56,0.62,0.52,0.5,0.7,0.68,0.85
simplewebservices.csv,0.93,0.79,0.79,0.57,0.62,1.0,0.85,0.88,0.87,1.02,0.84,0.02
ultimairis.csv,0.6,0.81,0.67,0.69,0.51,0.66,0.06,0.9,0.62,0.89,0.82,0.82
wow-qrsk.csv,0.84,0.73,0.06,0.96,0.68,1.0,0.94,0.93,0.58,0.54,0.73,0.77
wxstudio.csv,0.8,0.86,0.86,0.83,0.79,0.91,0.74,1.01,0.94,0.69,0.06,0.95
xbg.csv,0.96,1.01,0.83,0.88,0.87,1.0,0.85,0.0,0.93,0.41,0.78,0.68
xqilla.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
