,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.7,0.92,0.71,0.83,0.48,0.64,0.91,0.54,0.57,0.72,0.72,0.6
jaolt.csv,0.43,0.36,0.44,0.86,0.31,0.47,0.41,0.32,0.38,0.42,0.6,0.36
jcl.csv,0.95,0.67,0.91,0.64,0.86,0.95,0.5,0.96,0.92,0.95,0.92,0.93
kmess.csv,0.59,0.67,0.92,0.89,0.36,0.98,0.45,0.38,0.53,0.68,0.5,0.49
ossbuild.csv,0.95,0.94,0.96,0.93,0.62,0.97,0.8,0.93,0.89,0.77,0.92,0.95
qgo.csv,0.54,0.43,0.69,0.8,0.33,0.4,0.41,0.38,0.38,0.48,0.38,0.62
quark.csv,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.92,0.0
rezilla.csv,0.53,0.36,0.46,0.68,0.36,0.56,0.54,0.41,0.43,0.62,0.53,0.5
rhex.csv,0.91,0.83,0.91,0.0,0.75,0.86,0.8,0.91,0.73,0.0,0.71,0.75
toped.csv,0.53,0.92,0.86,0.42,0.33,0.43,0.68,0.59,0.5,0.53,0.83,0.44
truevision.csv,0.81,0.37,0.53,0.5,0.41,0.7,0.44,0.59,0.43,0.92,0.37,0.69
wxstudio.csv,0.81,0.59,0.9,0.83,0.77,0.83,0.76,0.59,0.89,0.58,0.58,0.7
