,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.58,0.78,0.02,0.85,0.59,0.7,0.81,0.61,0.69,0.72,0.73,0.72
jaolt.csv,0.54,0.46,0.67,0.85,0.47,0.88,0.03,0.64,0.74,0.64,0.65,0.67
jcl.csv,0.86,1.0,0.97,0.83,0.98,0.75,0.97,1.01,0.14,0.77,0.79,0.78
kmess.csv,0.57,0.66,0.78,0.82,0.78,0.93,0.67,0.57,0.59,0.76,0.52,0.02
ossbuild.csv,0.87,0.81,0.72,0.95,0.81,0.03,0.98,0.91,0.79,0.74,0.71,0.77
qgo.csv,0.65,0.0,0.87,0.84,0.72,0.88,0.67,0.67,0.66,0.79,0.73,0.66
quark.csv,1.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
rezilla.csv,0.67,0.89,0.83,0.0,0.49,0.66,0.85,0.68,0.88,0.7,0.72,0.73
rhex.csv,0.08,0.94,0.89,1.0,0.92,0.97,0.7,0.9,0.78,1.0,0.84,0.98
toped.csv,0.77,0.82,0.86,0.82,0.0,0.97,0.77,0.63,0.64,0.68,0.71,0.75
truevision.csv,0.77,0.54,0.75,0.95,0.63,0.86,0.62,0.03,0.78,0.91,0.9,0.69
wxstudio.csv,0.88,0.58,0.9,1.01,0.82,1.0,0.79,0.71,0.8,0.06,0.59,0.77
