,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.3,0.14,0.0,0.08,0.22,0.38,0.21,0.25,0.48,0.14,0.38,0.24
jaolt.csv,0.42,0.34,0.44,0.1,0.44,0.67,0.0,0.61,0.69,0.31,0.37,0.58
jcl.csv,0.22,0.09,0.1,0.48,0.33,0.06,0.0,0.34,0.0,0.24,0.19,0.44
kmess.csv,0.4,0.2,0.13,0.35,0.67,0.2,0.38,0.51,0.3,0.47,0.25,0.0
ossbuild.csv,0.23,0.26,0.1,0.32,0.56,0.0,0.1,0.14,0.06,0.53,0.15,0.25
qgo.csv,0.28,0.0,0.2,0.05,0.67,0.41,0.38,0.65,0.56,0.31,0.62,0.13
quark.csv,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
rezilla.csv,0.58,0.89,0.7,0.0,0.33,0.58,0.69,0.63,0.85,0.59,0.56,0.69
rhex.csv,0.0,0.11,0.05,0.02,0.0,0.03,0.21,0.1,0.32,0.0,0.35,0.04
toped.csv,0.58,0.2,0.15,0.78,0.0,0.97,0.14,0.41,0.29,0.45,0.15,0.69
truevision.csv,0.16,0.51,0.69,0.02,0.44,0.29,0.52,0.0,0.77,0.18,0.9,0.11
wxstudio.csv,0.3,0.23,0.25,0.15,0.22,0.03,0.31,0.32,0.16,0.02,0.25,0.31
