,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.92,0.63,0.64,0.5,0.45,0.92,0.9,0.44,0.62,0.51,0.46,0.75,0.0,0.67,0.7
atlc.csv,0.6,0.47,0.54,0.42,0.53,0.54,0.51,0.83,0.9,0.67,0.64,0.37,0.36,0.48,0.73
bwapi.csv,0.39,0.42,0.42,0.39,0.32,0.4,0.4,0.49,0.42,0.63,0.57,0.33,0.34,0.38,0.65
cubefs.csv,0.4,0.41,0.42,0.39,0.33,0.4,0.49,0.49,0.41,0.95,0.54,0.8,0.8,0.42,0.56
freewrl.csv,0.39,0.4,0.35,0.82,0.34,0.45,0.43,0.46,0.45,0.46,0.45,0.37,0.36,0.4,0.58
iaml.csv,0.9,0.54,0.5,0.0,0.94,0.5,0.59,0.9,0.83,0.94,0.6,0.57,0.61,0.46,0.89
jrdf.csv,0.93,0.48,0.86,0.9,0.54,0.4,0.51,0.93,0.59,0.5,0.9,0.5,0.57,0.5,0.74
kwave.csv,0.79,0.41,0.36,0.75,0.38,0.4,0.41,0.88,0.43,0.55,0.45,0.5,0.37,0.35,0.56
oscarmcmaster.csv,0.82,0.46,0.55,0.83,0.39,0.65,0.51,0.92,0.83,0.57,0.52,0.0,0.37,0.48,0.56
rtrt-on-gpu.csv,0.56,0.45,0.94,0.57,0.45,0.47,0.62,0.86,0.81,0.63,0.81,0.75,0.72,0.54,0.81
theresa.csv,0.59,0.67,0.47,0.0,0.41,0.48,0.52,0.62,0.6,0.8,0.44,0.5,0.61,0.47,0.44
thrust.csv,0.77,0.59,0.5,0.81,0.91,0.92,0.81,0.61,0.83,0.8,0.74,0.75,0.57,0.87,0.87
tktoolkit.csv,0.44,0.62,0.38,0.48,0.39,0.72,0.58,0.41,0.44,0.5,0.48,0.0,0.52,0.38,0.56
xstore.csv,0.79,0.41,0.43,0.0,0.71,0.38,0.48,0.71,0.6,0.6,0.45,0.0,0.74,0.43,0.58
yaprm.csv,0.44,0.0,0.62,0.62,0.45,0.56,0.67,0.51,0.75,0.92,0.92,0.33,0.4,0.58,0.92
