,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.92,0.27,0.75,0.35,0.7,0.63,0.09,0.14,0.84,0.25,0.31,0.49,0.38,0.7,0.81,0.78,0.57,0.42
bionote.csv,0.6,0.0,0.0,0.09,0.33,0.16,0.43,0.43,0.01,0.02,0.06,0.68,0.88,0.47,0.24,0.12,0.15,0.64
buddata-ebxml-registry.csv,1.0,0.96,0.95,1.0,0.99,1.0,1.0,0.9,0.97,0.96,0.96,1.0,1.0,0.93,0.96,0.98,0.91,0.94
bullet.csv,0.51,0.65,0.35,0.43,0.75,0.79,0.83,0.52,0.73,0.95,0.84,0.66,0.5,0.57,0.58,0.34,0.39,0.72
bulmages.csv,0.0,0.0,0.8,0.0,0.28,0.53,0.0,0.76,0.04,0.11,0.11,0.3,0.0,0.7,0.07,0.1,0.01,0.83
bwapi.csv,1.0,0.85,0.95,0.57,0.99,0.89,1.0,1.0,0.83,1.0,0.78,0.98,1.0,1.0,0.97,0.95,0.69,1.0
cubefs.csv,1.0,0.96,0.1,0.78,0.48,0.26,1.0,0.14,0.71,0.86,0.25,0.7,0.88,0.2,0.61,0.31,0.72,0.11
emisview.csv,0.0,0.08,0.35,0.74,0.07,0.21,0.0,0.0,0.51,0.0,0.01,0.36,0.62,0.0,0.15,0.12,0.31,0.03
java-gnome.csv,0.22,0.42,0.15,0.61,0.21,0.26,0.96,0.14,0.35,0.81,0.07,0.3,0.62,0.17,0.4,0.31,0.36,0.11
jgameai.csv,0.03,0.62,0.1,0.09,0.16,0.11,0.35,0.24,0.05,0.04,0.18,0.06,0.12,0.07,0.1,0.09,0.01,0.08
megasquirtavr.csv,1.0,0.92,0.5,1.0,0.91,0.95,1.0,0.81,1.0,1.0,0.94,0.87,1.0,0.77,0.93,0.93,0.9,0.94
mp-rechnungs-und-kundenverwaltung.csv,0.63,0.12,0.45,0.17,0.46,0.0,0.26,0.43,0.55,0.75,0.08,0.51,0.75,0.47,0.36,0.33,0.15,0.44
mptvseries.csv,0.51,0.15,0.3,0.39,0.21,0.68,0.57,0.48,0.52,0.04,0.21,0.53,0.5,0.5,0.15,0.55,0.18,0.36
oorexx.csv,0.15,0.27,0.85,0.39,0.51,0.16,0.04,0.57,0.1,0.07,0.67,0.26,0.25,0.67,0.17,0.43,0.3,0.72
somap.csv,0.71,0.85,0.95,0.91,0.94,0.32,1.0,1.0,0.64,0.96,0.95,0.94,0.75,0.9,0.81,0.66,0.82,0.97
tktoolkit.csv,0.09,0.19,0.4,0.78,0.67,0.74,0.52,0.19,0.82,0.6,0.31,0.57,1.0,0.67,0.35,0.4,0.36,0.69
xharbour.csv,0.77,0.92,0.95,0.83,0.49,0.84,0.65,0.76,1.0,0.42,0.65,0.81,0.88,0.9,1.0,1.0,0.87,0.78
