,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.85,0.85,1.0,0.85,0.74,0.68,0.7,0.8,0.8,0.78,0.66,1.04,1.01,0.8,0.51,0.9,0.35,0.78,1.08
fityk.csv,0.91,0.92,0.26,0.71,0.96,0.88,0.55,0.69,0.57,0.88,0.69,0.69,0.61,0.89,0.82,0.5,0.83,0.58,0.92
ivataopenportal.csv,0.79,0.7,0.56,0.95,0.86,0.38,0.77,0.9,0.75,0.87,0.75,1.15,1.0,0.83,0.93,0.84,0.55,0.82,0.97
lcfizvtop.csv,0.32,0.72,0.72,0.8,0.78,0.79,0.85,0.71,0.71,0.63,0.28,1.11,1.01,0.71,0.64,0.88,0.64,1.0,0.87
lite.csv,0.33,0.78,1.0,0.62,0.85,0.7,0.89,0.83,0.87,0.61,0.89,0.92,0.7,0.52,0.35,0.82,0.8,0.78,0.55
onotoa.csv,1.02,0.93,0.57,1.0,0.59,0.88,0.84,0.64,0.95,0.77,0.97,0.66,0.93,0.65,0.83,0.87,0.76,0.96,0.95
openwbem.csv,0.64,0.5,0.34,0.66,0.57,0.77,0.7,0.66,0.85,0.87,0.92,0.36,0.54,0.57,0.77,0.56,0.92,0.49,0.91
orc.csv,0.95,0.64,0.57,0.24,0.93,0.72,0.79,0.79,0.7,0.79,0.5,1.01,1.0,0.81,0.58,0.74,0.85,1.0,1.0
plato.csv,1.0,1.0,0.5,0.98,1.0,0.97,0.31,1.0,1.0,0.95,0.96,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0
rodin-b-sharp.csv,0.47,0.94,1.2,0.57,0.88,0.83,0.64,0.78,0.77,0.21,0.76,1.13,1.0,0.68,1.0,0.91,0.84,0.86,1.01
ta3d.csv,0.49,0.91,0.98,0.94,0.78,0.96,0.98,0.82,1.03,0.96,0.91,1.0,1.0,0.76,0.94,0.96,0.97,0.56,0.54
tycho.csv,0.98,0.63,0.7,0.67,0.68,0.73,0.65,0.75,0.93,0.88,0.71,0.31,0.32,0.74,0.53,0.69,0.81,0.61,0.48
umber.csv,0.17,0.56,1.04,0.96,0.81,0.65,1.0,0.81,0.67,0.87,0.71,0.88,0.98,0.7,0.71,0.54,0.97,0.9,1.15
vienna-add-in.csv,0.64,0.72,1.09,0.81,0.47,0.76,0.67,0.74,0.83,0.86,1.0,0.54,0.61,0.53,0.74,0.74,0.88,0.78,1.05
wpdev.csv,0.98,0.99,0.0,0.98,0.98,1.0,1.0,0.88,0.97,1.0,1.0,0.8,0.96,1.0,0.95,1.0,0.9,1.0,1.0
xcmetadataservicestoolkit.csv,0.35,0.73,0.65,0.65,0.59,0.91,0.71,0.71,0.9,0.42,1.0,0.76,0.91,0.46,0.81,0.75,1.0,0.94,0.95
yarp0.csv,0.85,0.62,0.71,0.58,0.91,0.79,1.02,0.77,0.46,0.39,0.69,1.23,1.01,0.7,0.5,0.63,0.98,0.74,1.0
