,f1,g,recall,precision,pf,cdom,bellwether
2,0.85,0.48,0.44,0.46,0.49,19.0,micomt.csv
23,0.66,0.715,0.5,0.495,0.48,6.0,jmoney.csv
31,0.6,0.525,0.485,0.455,0.445,3.0,raygina.csv
36,0.79,0.51,0.48,0.44,0.45,11.0,hazelcast.csv
49,0.575,0.4,0.385,0.42,0.46,13.0,img-browse-sort.csv
1,0.82,0.46499999999999997,0.24,0.395,0.55,0.0,atunes.csv
