,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.71,0.58,0.5,0.47,0.48,0.51,0.49,0.33,0.34,0.54
cities3d.csv,0.67,0.37,0.97,0.53,0.93,0.59,0.58,0.5,0.77,0.41
firebird.csv,0.68,0.43,0.45,0.46,0.55,0.41,0.54,0.37,0.33,0.64
hydrogen.csv,0.46,0.37,0.39,0.42,0.43,0.32,0.5,0.58,0.35,0.39
lphant.csv,0.38,0.37,0.36,0.39,0.44,0.41,0.48,0.41,0.43,0.41
open-ms.csv,0.5,0.33,0.34,0.44,0.93,0.33,0.55,0.42,0.67,0.51
qgo.csv,0.38,0.41,0.34,0.4,0.48,0.31,0.44,0.38,0.33,0.4
rhex.csv,0.53,0.34,0.49,0.57,0.67,0.48,0.54,0.6,0.0,0.51
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0
yield.csv,0.4,0.34,0.35,0.43,0.44,0.34,0.49,0.36,0.33,0.4
