,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.28,0.57,0.54,0.57,0.67,0.28,0.42,0.39,0.63,0.43
cities3d.csv,0.13,0.61,0.31,0.47,0.23,0.33,0.45,0.0,0.46,0.37
firebird.csv,0.29,0.57,0.62,0.56,0.63,0.21,0.39,0.36,0.56,0.38
hydrogen.csv,0.35,0.63,0.69,0.53,0.66,0.17,0.57,0.18,0.57,0.34
lphant.csv,0.31,0.62,0.63,0.51,0.67,0.21,0.32,0.3,0.62,0.36
open-ms.csv,0.28,0.77,0.68,0.46,0.31,0.17,0.58,0.39,0.47,0.35
qgo.csv,0.24,0.87,0.65,0.56,0.57,0.16,0.39,0.34,0.57,0.35
rhex.csv,0.5,0.59,0.44,0.37,0.37,0.19,0.45,0.2,0.09,0.32
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
yield.csv,0.22,0.7,0.67,0.53,0.74,0.16,0.39,0.37,0.59,0.37
