,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.54,0.43,0.63,0.55,0.47,0.53
empyrean.csv,0.55,0.0,0.0,0.0,0.0,0.0
impala.csv,0.54,0.54,0.79,0.88,0.52,0.61
multitude.csv,0.43,0.4,0.47,0.34,0.45,0.44
nutz.csv,0.72,0.59,0.56,0.53,0.5,0.46
pi-qmc.csv,0.5,0.41,0.45,0.37,0.42,0.56
