,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,1.0,0.88,0.46,0.27,0.15,0.7,0.3,0.13,0.5,0.72,0.86
badtrinitycore.csv,0.67,0.83,0.67,1.0,0.1,0.0,0.34,0.05,0.4,0.7,0.47
boost.csv,0.52,0.75,0.33,0.15,0.17,0.79,0.24,0.12,0.99,0.63,0.55
electric-core.csv,0.53,0.86,1.0,0.12,0.13,0.83,0.25,0.12,0.34,0.68,0.5
java-gnome.csv,0.57,0.77,0.46,0.18,0.42,1.0,0.26,0.08,0.38,0.72,0.67
miranda-icq.csv,0.65,0.73,0.29,0.18,0.17,0.9,1.0,0.15,0.42,0.6,0.62
ofbiz.csv,0.69,0.9,0.19,0.07,0.15,0.5,0.35,0.17,0.49,0.98,0.56
olsrd.csv,0.57,1.0,0.24,0.14,0.18,0.81,0.35,0.13,0.43,0.72,0.53
opensim4opencog.csv,0.71,0.0,0.17,0.3,1.0,1.0,0.23,0.11,0.34,0.69,0.4
t-2.csv,0.56,0.76,0.18,0.09,0.08,0.67,0.24,1.0,0.33,0.63,0.5
xcf.csv,0.53,0.77,0.22,0.11,0.14,0.83,0.26,0.12,0.38,0.67,1.0
