,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.97,0.63,0.45,0.59,0.39,0.14,0.59,0.54,0.46,0.36,0.23
badtrinitycore.csv,0.1,0.09,0.2,0.89,0.41,0.0,0.35,0.14,0.24,0.44,0.45
boost.csv,0.47,0.42,0.63,0.63,0.58,0.53,0.52,0.56,0.98,0.4,0.6
electric-core.csv,0.57,0.51,0.94,0.58,0.57,0.46,0.52,0.48,0.51,0.55,0.53
java-gnome.csv,0.18,0.0,0.53,0.72,0.48,1.0,0.0,0.3,0.0,0.2,0.23
miranda-icq.csv,0.71,0.4,0.48,0.61,0.58,0.5,0.95,0.38,0.34,0.34,0.19
ofbiz.csv,0.69,0.57,0.23,0.16,0.3,0.13,0.48,0.48,0.58,0.99,0.35
olsrd.csv,0.56,0.99,0.6,0.64,0.76,0.58,0.66,0.55,0.59,0.63,0.55
opensim4opencog.csv,0.23,0.0,0.01,0.16,0.74,0.02,0.35,0.5,0.37,0.55,0.38
t-2.csv,0.42,0.48,0.39,0.41,0.41,0.28,0.47,0.93,0.49,0.49,0.53
xcf.csv,0.57,0.0,0.41,0.29,0.61,0.65,0.0,0.5,0.27,0.45,0.98
