,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.04,0.49,0.61,0.49,0.7,0.9,0.64,0.7,0.64,0.72,0.81
badtrinitycore.csv,0.92,0.93,0.83,0.13,0.77,1.0,0.72,0.93,0.82,0.69,0.78
boost.csv,0.85,0.89,0.51,0.6,0.57,0.68,0.78,0.75,0.02,0.77,0.66
electric-core.csv,0.73,0.59,0.07,0.69,0.75,0.66,0.73,0.72,0.78,0.72,0.75
java-gnome.csv,0.86,1.0,0.54,0.52,0.57,0.0,1.0,0.85,1.0,0.84,0.82
miranda-icq.csv,0.51,0.91,0.63,0.53,0.58,0.58,0.06,0.71,0.74,0.82,0.85
ofbiz.csv,0.45,0.51,0.83,0.9,0.77,0.97,0.63,0.63,0.55,0.05,0.74
olsrd.csv,0.79,0.01,0.74,0.68,0.6,0.63,0.54,0.79,0.63,0.73,0.7
opensim4opencog.csv,0.81,1.0,0.99,0.87,0.3,0.98,0.78,0.76,0.77,0.69,0.87
t-2.csv,0.7,0.84,0.78,0.8,0.86,0.87,0.73,0.08,0.82,0.82,0.8
xcf.csv,0.71,1.0,0.88,0.93,0.72,0.58,1.0,0.71,0.93,0.71,0.03
