,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.4,0.44,0.81,0.65,0.52,0.9,0.44,0.5,0.56,0.6,0.86
badtrinitycore.csv,0.67,0.83,0.98,0.98,0.74,0.0,0.96,1.0,0.88,0.72,0.67
boost.csv,0.36,0.5,0.61,0.5,0.56,0.49,0.5,0.58,0.7,0.57,0.61
electric-core.csv,0.44,0.49,0.85,0.55,0.53,0.72,0.57,0.78,0.66,0.55,0.58
java-gnome.csv,0.86,0.44,0.75,0.47,0.96,0.42,0.39,0.62,0.45,0.94,0.89
miranda-icq.csv,0.35,0.56,0.65,0.55,0.55,0.52,0.8,0.71,0.58,0.62,0.88
ofbiz.csv,0.31,0.38,0.8,0.81,0.78,0.92,0.52,0.66,0.62,0.43,0.67
olsrd.csv,0.32,0.39,0.4,0.37,0.39,0.4,0.49,0.42,0.42,0.37,0.47
opensim4opencog.csv,0.86,0.0,0.83,0.95,0.94,0.0,0.49,0.73,0.86,0.61,0.73
t-2.csv,0.67,0.56,0.76,0.65,0.64,0.95,0.76,0.99,0.68,0.57,0.55
xcf.csv,0.44,0.44,0.38,0.38,0.42,0.4,0.39,0.49,0.48,0.49,0.52
