,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.56,0.64,0.56,0.4,0.76,0.34,0.93,0.62,0.34,0.35,0.52,0.0
emulemorph.csv,0.25,0.0,0.48,0.0,0.56,0.0,0.0,0.0,0.54,0.0,0.0,0.0
jaxen.csv,0.44,0.33,0.69,0.6,0.51,0.46,0.0,0.98,0.41,0.56,0.43,0.0
jvcl.csv,0.06,0.55,0.64,0.31,0.59,0.1,0.0,0.44,0.53,0.36,0.3,0.0
m-m-m.csv,0.47,0.24,0.49,0.6,0.33,0.82,0.0,0.17,0.19,0.09,0.17,0.87
motu.csv,0.53,0.62,0.24,0.36,0.0,0.53,0.0,0.17,0.64,0.7,0.34,0.09
nh3d.csv,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.35,0.5,0.3,0.73,0.28,0.31,0.94,0.57,0.0,0.55,0.37,0.96
wgs-assembler.csv,0.57,0.09,0.13,0.61,0.48,0.22,0.69,0.67,0.58,0.71,0.45,0.0
zabbix.csv,0.56,0.0,0.46,0.56,0.42,0.37,0.0,0.44,0.2,0.57,0.43,0.0
