,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.32,0.16,0.47,0.41,0.21,0.25,0.0,0.21,0.09,0.43
flylegacy.csv,0.49,0.7,0.67,0.3,0.6,0.43,0.26,0.39,0.63,0.53
ftm.csv,0.4,0.22,0.5,0.28,0.16,0.24,0.24,0.6,0.66,0.67
jcache.csv,0.6,0.78,0.86,0.22,0.53,0.53,0.42,0.55,0.3,0.86
lphant.csv,0.56,0.63,0.7,0.31,0.71,0.62,0.42,0.71,0.67,0.74
minig.csv,0.45,0.76,0.76,0.24,0.52,0.63,0.41,0.57,0.15,0.58
mob-sen-plat.csv,0.57,0.83,0.81,0.25,0.7,0.52,0.51,0.52,0.61,0.62
raygina.csv,0.67,0.0,0.64,0.26,0.34,0.42,0.42,0.59,0.18,0.53
upp-mirror.csv,0.39,0.6,0.77,0.3,0.73,0.39,0.44,0.4,0.36,0.29
yarp.csv,0.32,0.06,0.56,0.08,0.0,0.33,0.55,0.3,0.03,0.5
