,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.78,0.91,0.77,0.47,0.89,0.84,1.0,0.87,0.95,0.71
flylegacy.csv,0.75,0.58,0.65,0.59,0.68,0.94,0.83,0.88,0.97,1.0
ftm.csv,0.72,0.88,0.66,0.72,0.91,0.85,0.85,0.49,0.47,0.47
jcache.csv,0.77,0.49,0.82,0.73,0.76,0.59,0.7,0.94,0.82,0.19
lphant.csv,0.84,0.52,0.69,0.61,0.6,0.46,0.69,0.35,0.72,0.38
minig.csv,0.72,0.95,0.97,0.87,0.9,0.43,0.81,1.0,0.91,0.56
mob-sen-plat.csv,0.77,0.31,0.91,0.71,0.76,0.85,0.61,0.61,0.74,0.48
raygina.csv,0.38,1.0,0.73,0.65,0.79,0.68,0.68,0.71,0.89,0.62
upp-mirror.csv,0.83,0.55,0.8,0.62,0.47,0.73,0.77,0.73,0.75,1.0
yarp.csv,0.77,0.97,0.69,0.94,1.0,0.82,0.54,0.81,0.98,0.63
