,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.92,0.8,0.65,0.78,0.93,0.94,0.0,0.83,0.89,0.92
flylegacy.csv,0.46,0.42,0.52,0.55,0.56,0.43,0.79,0.51,0.43,0.58
ftm.csv,0.9,0.75,0.56,0.81,0.89,0.92,0.78,0.44,0.45,0.5
jcache.csv,0.36,0.42,0.34,0.51,0.54,0.44,0.56,0.35,0.71,0.42
lphant.csv,0.37,0.48,0.33,0.38,0.3,0.5,0.39,0.43,0.46,0.4
minig.csv,0.61,0.35,0.4,0.4,0.61,0.43,0.76,0.35,0.94,0.61
mob-sen-plat.csv,0.38,0.34,0.34,0.37,0.3,0.4,0.37,0.39,0.34,0.48
raygina.csv,0.41,0.0,0.45,0.46,0.74,0.63,0.44,0.33,0.93,0.53
upp-mirror.csv,0.48,0.65,0.36,0.73,0.42,0.62,0.58,0.65,0.74,0.83
yarp.csv,0.92,0.0,0.54,0.99,0.5,0.67,0.5,0.78,0.0,0.78
