,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,3.0,1.0,1.0,1.0,1.0,7.0,62.0,2.0,0.0,1.0
flylegacy.csv,11.0,5.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,3.0
ftm.csv,2.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,1.0,1.0
jcache.csv,1.0,4.0,0.0,0.0,1.0,2.0,0.0,11.0,5.0,2.0
lphant.csv,2.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0
minig.csv,2.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
mob-sen-plat.csv,0.0,0.0,1.0,34.0,2.0,1.0,1.0,2.0,2.0,3.0
raygina.csv,0.0,52.0,1.0,4.0,1.0,7.0,2.0,7.0,0.0,0.0
upp-mirror.csv,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
yarp.csv,1.0,0.0,1.0,0.0,104.0,8.0,0.0,7.0,0.0,2.0
