,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.16,0.1,0.41,0.24,0.15,0.13,0.0,0.09,0.08,0.05
flylegacy.csv,0.7,0.5,0.5,0.45,0.54,0.89,0.24,0.73,0.97,0.98
ftm.csv,0.07,0.0,0.14,0.15,0.07,0.06,0.13,0.18,0.35,0.05
jcache.csv,0.77,0.45,0.82,0.49,0.56,0.49,0.42,0.94,0.32,0.17
lphant.csv,0.84,0.2,0.59,0.54,0.54,0.15,0.34,0.21,0.72,0.34
minig.csv,0.6,0.95,0.95,0.84,0.76,0.3,0.66,1.0,0.15,0.07
mob-sen-plat.csv,0.77,0.25,0.91,0.58,0.73,0.84,0.42,0.45,0.72,0.2
raygina.csv,0.26,0.0,0.59,0.44,0.2,0.18,0.24,0.7,0.11,0.05
upp-mirror.csv,0.67,0.1,0.77,0.25,0.37,0.46,0.63,0.42,0.15,0.73
yarp.csv,0.14,0.0,0.41,0.2,0.05,0.52,0.32,0.36,0.0,0.12
