,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.68,1.0,0.93,0.96,0.73,0.74,0.96,0.76,1.0,1.0,0.81,0.82,0.9,0.85,0.64,0.59,0.76,0.1,0.59,0.74
aubit4gl.csv,0.86,0.66,0.67,0.71,0.07,0.71,0.7,0.82,0.62,0.62,0.78,0.8,0.58,0.78,0.64,0.91,0.87,0.65,0.89,0.87
bionote.csv,1.0,1.0,0.86,1.0,1.0,0.93,0.96,0.88,1.0,1.0,0.92,1.0,1.0,0.98,1.0,0.0,0.98,0.93,0.93,0.87
bullet.csv,0.76,0.77,0.76,0.75,0.73,0.01,0.86,0.75,0.88,0.76,0.81,0.61,0.74,0.54,0.87,0.74,0.59,0.69,0.8,0.67
customwars.csv,0.81,0.83,0.8,0.54,0.71,0.85,0.87,0.18,0.9,1.0,0.96,0.98,1.02,0.81,1.04,1.0,0.82,0.82,0.9,0.75
findbugs.csv,0.65,0.54,0.45,0.98,0.72,0.84,0.83,0.81,0.71,0.89,0.63,0.95,0.72,0.76,0.81,0.41,0.7,0.69,0.07,0.76
frogatto.csv,0.62,0.56,0.57,0.5,0.71,0.53,0.43,0.54,0.71,0.56,0.03,0.6,0.89,0.54,0.74,0.5,0.48,0.53,0.67,0.58
grisbi.csv,0.82,0.92,0.74,0.66,0.86,0.92,0.93,0.82,0.68,0.66,0.74,0.0,0.62,0.78,0.68,0.9,0.81,0.77,0.94,0.92
lsb.csv,0.64,0.66,0.61,0.0,0.74,0.74,0.77,0.89,0.71,0.63,0.68,0.49,0.62,0.56,0.73,0.85,0.31,0.59,0.81,0.8
oscarmcmaster.csv,1.0,0.67,0.88,0.96,0.99,0.89,0.83,0.83,1.0,0.86,0.88,0.94,0.68,0.93,0.81,0.64,0.73,0.69,0.81,0.19
plearn.csv,0.07,0.85,0.76,0.69,0.73,0.81,0.96,0.78,0.76,0.73,0.7,0.7,0.71,0.7,0.62,0.76,0.26,0.69,0.8,0.75
psrchive.csv,0.75,0.83,0.14,0.98,0.82,0.87,0.83,0.79,1.0,1.0,0.78,0.91,1.0,0.83,0.97,0.5,0.87,0.69,0.72,0.7
re2c.csv,0.64,0.17,0.59,0.69,0.66,0.7,1.0,0.83,0.8,0.78,0.6,0.67,0.52,0.64,0.69,0.88,0.26,0.66,0.62,0.79
rebecca-aiml.csv,0.79,0.51,0.67,0.65,0.83,0.74,0.73,0.62,0.77,0.56,0.83,0.76,0.78,0.66,0.87,0.79,0.0,0.74,0.61,0.73
rtrt-on-gpu.csv,0.78,0.83,0.77,0.89,0.95,0.83,0.97,0.89,0.0,0.93,0.74,0.79,0.9,0.75,0.88,0.78,0.85,0.91,0.77,0.87
stemkit.csv,0.93,0.71,0.86,0.96,1.01,0.94,1.0,0.94,0.51,0.0,0.92,0.89,1.01,0.91,0.78,0.75,0.96,0.84,0.83,0.96
tcvp.csv,0.86,0.62,0.87,0.77,0.91,0.93,0.91,0.95,0.35,0.87,0.87,0.98,0.11,0.84,0.87,0.88,0.85,0.91,0.83,0.99
tktoolkit.csv,0.88,0.71,0.81,0.62,0.78,0.76,0.26,0.72,0.74,0.57,0.76,0.75,1.04,0.85,1.0,0.83,0.79,0.71,0.5,0.7
tycho.csv,0.7,0.67,0.8,0.84,0.87,0.82,0.75,0.74,0.82,0.87,0.79,0.8,0.93,0.64,0.0,0.82,0.66,0.6,0.6,0.71
xstore.csv,0.62,0.71,0.63,0.81,0.71,0.74,0.58,0.76,0.84,0.91,0.45,0.82,0.75,0.02,0.69,0.51,0.68,0.56,0.66,0.57
