,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.48,0.0,0.12,0.08,0.41,0.67,0.07,0.22,0.0,0.0,0.64,0.31,0.09,0.6,0.66,0.31,0.38,0.93,0.58,0.27
aubit4gl.csv,0.24,0.21,0.26,0.34,0.96,0.59,0.21,0.16,0.33,0.17,0.47,0.39,0.24,0.36,0.6,0.11,0.32,0.3,0.29,0.16
bionote.csv,0.0,0.0,0.21,0.0,0.0,0.14,0.07,0.18,0.0,0.0,0.15,0.0,0.0,0.04,0.0,1.0,0.04,0.11,0.12,0.19
bullet.csv,0.36,0.15,0.27,0.43,0.72,0.99,0.23,0.28,0.2,0.18,0.64,0.83,0.23,0.63,0.67,0.24,0.45,0.32,0.48,0.37
customwars.csv,0.25,0.25,0.21,0.45,0.51,0.41,0.18,0.9,0.17,0.0,0.09,0.03,0.0,0.31,0.12,0.0,0.26,0.19,0.17,0.36
findbugs.csv,0.39,0.27,0.42,0.39,0.41,0.53,0.2,0.17,0.26,0.07,0.51,0.57,0.19,0.51,0.31,0.39,0.38,0.28,0.96,0.24
frogatto.csv,0.42,0.24,0.32,0.47,0.52,0.67,0.37,0.33,0.25,0.22,0.99,0.57,0.12,0.62,0.41,0.33,0.57,0.38,0.44,0.37
grisbi.csv,0.44,0.18,0.27,0.35,0.66,0.78,0.21,0.28,0.33,0.18,0.68,1.0,0.24,0.66,0.63,0.25,0.43,0.29,0.47,0.33
lsb.csv,0.46,0.21,0.32,1.0,0.65,0.79,0.21,0.23,0.26,0.18,0.64,0.7,0.24,0.64,0.41,0.27,0.68,0.38,0.55,0.32
oscarmcmaster.csv,0.02,0.4,0.13,0.07,0.03,0.21,0.18,0.24,0.0,0.1,0.24,0.11,0.3,0.14,0.34,0.33,0.33,0.31,0.29,0.89
plearn.csv,0.95,0.12,0.22,0.33,0.54,0.32,0.06,0.22,0.33,0.16,0.54,0.64,0.17,0.44,0.56,0.25,0.71,0.29,0.29,0.31
psrchive.csv,0.37,0.25,0.92,0.04,0.29,0.23,0.23,0.2,0.0,0.0,0.36,0.17,0.0,0.29,0.06,0.57,0.22,0.33,0.39,0.31
re2c.csv,0.41,0.91,0.32,0.35,0.65,0.57,0.0,0.18,0.32,0.15,0.55,0.74,0.27,0.51,0.49,0.14,0.72,0.31,0.47,0.24
rebecca-aiml.csv,0.3,0.43,0.26,0.37,0.65,0.42,0.19,0.32,0.21,0.19,0.29,0.39,0.25,0.48,0.25,0.18,1.0,0.24,0.52,0.3
rtrt-on-gpu.csv,0.31,0.25,0.2,0.19,0.1,0.29,0.04,0.14,1.0,0.06,0.55,0.36,0.09,0.38,0.22,0.19,0.23,0.12,0.33,0.16
stemkit.csv,0.12,0.19,0.24,0.08,0.0,0.13,0.0,0.1,0.5,1.0,0.14,0.21,0.0,0.16,0.35,0.33,0.07,0.18,0.27,0.06
tcvp.csv,0.2,0.21,0.14,0.27,0.17,0.18,0.14,0.07,0.5,0.08,0.22,0.16,0.94,0.29,0.25,0.14,0.25,0.12,0.26,0.04
tktoolkit.csv,0.19,0.2,0.19,0.41,0.44,0.4,0.85,0.22,0.24,0.21,0.46,0.57,0.0,0.27,0.0,0.14,0.29,0.27,0.58,0.29
tycho.csv,0.36,0.33,0.22,0.2,0.25,0.39,0.19,0.21,0.2,0.08,0.33,0.33,0.07,0.53,1.0,0.15,0.4,0.38,0.51,0.29
xstore.csv,0.42,0.19,0.28,0.23,0.55,0.42,0.27,0.24,0.17,0.06,0.68,0.32,0.16,0.99,0.45,0.32,0.37,0.37,0.49,0.39
